id,text,topics,topicgpt_correct
bafyreie6n645ergapi4pp3iskyj2gdzbrpsijy3xhzresvrv3hftnyj3gm,"What’s going on in Tice’s head when he says this stuff.

Does he believe what he says?
If not, why does he say it?
Is he lying to take power by appealing to ICE petrolheads?
Or lying for Putin who has oil to sell?
Does he think he’ll escape climate change unscathed?

What do you think he thinks?",[2] Fossil Fuels; [2] Climate Change,Yes
bafyreibvubtrsuoddgv6ilahpqlormx767m63dbh4lyky32uym4w6wdlby,"Not too many companies are going to spend the money to set up operations to appease the whims of a moron. That's ridiculous even to think that. 
None of Trump's uninformed actions are sustainable in the long term.",[2] Energy Policy and Transition,No
bafyreiguxjt33e6qmlf7bjeudex6dk3crzd36ciuwd3ko53fpynyloacvi,"Trump likes to push the lie that wind turbines cause cancer, but the only way that would happen is if you grounded them down to a powder and snorted it, probably; kind of like inhaling air pollution from burning fossil fuels.",[2] Fossil Fuels; [2] Renewable Energy; [2] Pollution,Yes
bafyreig5esjnxhxbtxvoz4uiwrfw5prl3erl6jdvku2h5lra3ypotgis5a,Climate change is mainly but not all human related. People must check their insurance covers natural disasters including forest fires. The guy willing to pay should evacuate. Life is important not property. Population numbers need managing or climate events will do it.,[1] Emergency Response; [2] Disaster Management; [2] Climate Change,Yes
bafyreigx4wsfa3vddgjxyyvlgmogulp3fz3u7voo5sho2j2i2avopxbcf4,"This really is disgraceful. 

Come on Starmer, nationalise the bloody water. It’s ours anyway FFS. ! 

Water chiefs’ pay rises to average of £1.1m despite ban on bonuses and outrage over pollution | Executive pay and bonuses | The Guardian",[1] Environment; [2] Environmental Policy and Governance,Yes
bafyreico2rzuzpt3d5ouljzx2zwrxlacg47k4b5cl6qy6ibvbvjuwwyuyu,"Lorax. Going wrong way. 

““This isn’t about abandoning environmental protection… achieving it through innovation… By reconsidering rules that throttled oil and gas production and unfairly targeted coal-fired power plants, we are ensuring that American energy remains clean, affordable and reliable.”",[1] Energy; [2] Fossil Fuels; [2] Energy Policy and Transition,Yes
bafyreicskatdr6oceo27ezqj7ee6l6d4e2axq75b63d5b43y3gmmdrzboq,"Between 1985 and 2014 the Southern Ocean cool and the amount of sea ice increased, despite the world warming by just under 0.2°C per decade globally.

This phenomena is generally not simulated by atmosphere-ocean coupled climate model simulations of historical climate change over this period [2/n]",[1] Climate Science,Yes
bafyreiac3uf3usssjgpazz2uvvtiw43icb74qdlhyzpsn62bcex6pea3ou,"Trump's EPA plans to eliminate regulation of pollution. The claim: emmitions from burning fossil fuels do not contribute significantly to dangerous pollution, climate change or public health. Another attack on science, common sense & public health.",[1] Environment; [2] Pollution; [2] Climate Change; [2] Public Health and Environment; [2] Environmental Policy and Governance,Yes
bafyreiaksyiqcijaigzk7gyfkakgscrumqg76yknsb2t44edyubbkvurua,"If you read this you will find gems such as: “However, it is an article of faith in MAGA circles that climate change is a ""hoax"" invented by the ""libs"" to deny gender-affirming care to cis men, in the form of oversized gas-guzzling trucks.”",[2] Climate Change Communication and Public Perception,Yes
bafyreicxivf4supgaxtg4ousx2eigyu7blwfoiczphqizvc24yaaeipgzi,"So this is about outsourcing weather reporting to The Weather Channel for a station in north Mississippi. And then viewers got mad, and rightfully so, and the company reversed. 

I had no idea that this was even a thing. So scary. As climate change increases, we need local reliable meteorologists!",[1] Climate Science,Yes
bafyreigzgd3sc34v2ounicm42hrw5leaouivnnvzew2xyzcexhoaibgb7q,"He's setting the USA up for failure of the 21st century economy. It is like watching Danielle Smith in action, burying his head in the climate change denial sand. He will be dead and buried in several years, he doesn't care!",[2] Climate Change Policy and Regulation; [2] Climate Change Communication and Public Perception,Yes
bafyreichhbuozsh7y364uaxsug4utlivg6dh3qxs7pxrblidtkvehvftma,"more accurately, capitalism and global warming.

but still, maryland.",,No
bafyreifhjfm6foc246xhjtdq2cqmm7a7lbtkjb4rcunrihoeldtotde46u,Brazil's soy farmers raze Amazon rainforest despite deforestation pact - www.reuters.com/sustainabili....  STOP 😩🤯🤦‍♀️,[1] Agriculture; [2] Environmental Impact of Agriculture; [1] Environment; [2] Climate Change; [2] Environmental Policy and Governance,Yes
bafyreiahobwvbthtjdqqm3udjpnrn5s77clhsevdf36drkn2f7aqnxe6su,"WH EO restructuring of the St. Dept, w/ the elimination of nearly all Africa operations & the closure of embassies & consulates across the continent. It also calls for the reduction of offices at St. Dept HQ that focus on climate change & refugee issues, as well as democracy & human rights concerns.",[1] Environment; [2] Climate Change; [2] Environmental Policy and Governance,Yes
bafyreiatndnl5ozjlma4rop3iguqnleym2pg4hy456fyjmcjavphlruvq4,"75' | ⚽ GOOOOOAALLLL!!! 

Zane Banton gets one back for the Saints!!! He shifts the ball onto his right foot, drilling his shot into the bottom left corner from distance!

Saints 1-3 Wood

📻 bit.ly/4enKkQF

#COMEONYOUSAINTS 😇 #SACvBOR",,No
bafyreihdk65bkspoitzefaa7luo4eeuvp2uzr4vanrv6y3bon7msasbroe,"Let’s think about it: the wealthy elite silently acknowledge climate change. They know it’s coming, have all the resources and probably plan B to survive a huge disaster. This is why there is no change being done. They will exploit people until there are none left to exploit. #climatechange",[1] Social Justice; [2] Climate Justice; [2] Climate Change Communication and Public Perception,Yes
bafyreiarwwfkqyu3tbt6son5flck27k6ks5qy6rnsfwzr7ms2qpkrm663q,"Sweetie I was a tour guide at the Erasmus Darwin House. Just becuase some idiots use religion to deny evolution, climate change, vaccines etc doesn't mean all of us do. Your bigotry and prejudice is showing. www.erasmusdarwin.org",[2] Climate Change Communication and Public Perception,Yes
bafyreifeebbwjf2dshizuprdoysvnk76xjehudoqzjp43dgpj2uzqsrqaq,"For the second time in two weeks, my son's school is being closed early because of extreme heat. 

It was built in 2012. 

The UK is shockingly under-prepared for climate change.",[1] Environment; [2] Climate Change,Yes
bafyreidwpxysrqoos4u5nqfourcnlunoqgyjxfjxqnqold3ll6mu3lo3qq,"The “how bad will climate change be?” debate often is depicted as the IPCC report versus the predictions of some PhD dropout at some Koch-orbit think tank, and ignores the hardcore alarmists predicting just absolutely inescapable human misery.",[2] Climate Change Communication and Public Perception,Yes
bafyreibccbcin5qsgpvlauecgnj2himzneatzchwnsfqtumaxkwiyt22s4,how the demand for green tech leeds to more pollution and environmental crisis www.bbc.com/news/article...,[1] Environment; [2] Pollution; [2] Renewable Energy; [2] Environmental Impact on Society and Health,Yes
bafyreihdd35hqeh4ie3cmyahacaoverjfcbnhymre3rngbnxpkonsug2wy,"King Kongin Signals a Health-First Future for Energy Drinks with Natural Formulas and Clean Ingredients
rcnamericaca.blogspot.com/2025/07/king...",[1] Health,Yes
bafyreif5tr36iqz4ytvklwbpcukhcp3ln6od7veh3g4zhfen7ajps25ucy,"🌱🔄 CIMNE joined #EUGreenWeek 2025 in Brussels to advance circular solutions for a competitive EU! We connected with leaders in education, bioeconomy, green energy, and more—driving research for a cleaner, more innovative future.

📃 Learn more: www.cimne.com/cvdata/cntr2...",[1] Sustainable Development; [2] Climate and Environment,Yes
bafyreihzvgtlmt6utk3orlgsxnkhks4nnflvfwxgsvpix56yuf7gb4aeem,"Under Trump, climate denial has given way to something even more dangerous: climate erasure.

Why the federal government is making climate data disappear - Government Executive share.google/RES8hZtUfwHg...",[2] Climate Change Communication and Public Perception,Yes
bafyreif4douhwuwvkgdfnumwgazhfcmtkbllb7fknkqo2rgz354xpsnvfy,"Happy to be specific! 😎

Here's a great article detailing the 57 companies linked to 80% of greenhouse gas emissions since 2016:",[2] Climate Change,Yes
bafyreibuau5pfs7guvjfluzl5wabrf7d72ihwyzhotv6t6wsqyq2kx6kge,"As the cataclysmic wildfires rage over Gondwa, many animals have begun to migrate poleward to escape the anomalously hot climate.
On Tuesday 26 at the start of Tidal Tuesday event the map will change. 

Discord! discord.gg/qVd2V6yr

#pot #pathoftitans #alderon #dino #dinosaurs #beringia",[2] Climate Change Impacts and Adaptation,Yes
bafyreib7peuvnohcdk5nga257xpokiv35baie5ickk6eov6iionct2d2oy,"This just goes to show how many countries, governments and politicians have been captured by the oil and gas industry who have their fingers into absolutely every pie, so they can continue to pollute the planet, kill the humans on the planet and make more and more money!",[2] Fossil Fuels,Yes
bafyreie6rnxz2au4e4qpwzltzuej6thbtutjje65swzkdoz6r5palas72u,"The US won't make 2050 with this new Christian Nationalist/Supreme Leader model of governance.

Civil War, chaos and the ravages of climate change will eat their new status quo alive.",[1] Environment; [2] Climate Change; [2] Climate Change Impacts and Adaptation,Yes
bafyreigx7wyk6hjrvosz5tprotnm3gxyox4px5nc46p44dapk767e2vzji,"YouTube is full of man babies moaning about climate change, immigrants and plandemics. Finally reported one after being pestered to watch the stupid rambling twat.",[2] Climate Change Communication and Public Perception,Yes
bafyreigrv4zpg2yqtlh6fwsjdnplkipkxxwp7ltwcpx2pr6h4ie76uhbb4,"We're outside fracking CEO Chris Wright's Senate confirmation hearing. 

As fires level entire neighborhoods in Los Angeles, the last thing we need is to put an oil CEO in charge of energy policy.",[2] Fossil Fuels; [2] Energy Policy and Transition; [2] Environment,Yes
bafyreifsspq73fs6egdpoygw5p6nipwwn52dlyvliptemhf2ver4bxnikq,"From HCR: CLIMATE CHANGE DID NOT RANK HIGH among policy concerns heading into the 2024 election, according to a far-reaching Gallup survey. Just 21 percent of registered voters called it “extremely important,” while 29 percent said it was “very important.” 

But there are new factors that could",[2] Climate Change,Yes
bafyreie7mqgs5bmjpvqpj2axj6tzqkeyfpvo5zjwrm73f7372wd4rden2i,"Government Promises to Offset Huge NT Solar Farm With More Fossil Fuel Projects

https://www.byteseu.com/356359/

Government Promises to Offset Huge NT Solar Farm With More Fossil Fuel Projects Government Promises to Offset Huge NT Solar Farm With More Fossil Fuel Projects",[1] Energy; [2] Fossil Fuels; [2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreihjiozzl4bbfrfkl5s67sbxp4sbcfms3jgldoy3fypx4v4xmc34my,Bringing those wonderful coal mining jobs back to Americans 🙃We’ve missed them. Killing us all and the planet.,[2] Fossil Fuels,Yes
bafyreid62mwu7bu3att7tpszmwxrp64hqcehx72a7zauvfun6cm3t2ije4,Air pollution reduction zones were going to divide families and stop people visiting graves. None of it happened.,[1] Environment; [2] Pollution,Yes
bafyreiaewmvwoio4odl7x4ftlmsknlqm2vnbknjd6k6xj7r5qyezzy4twe,"I don't want to hear it from Republicans.   They own climate change and big oil owns them.  

www.opensecrets.org/industries/t...",[2] Fossil Fuels; [2] Energy Policy and Transition,Yes
bafyreigpxqexn2uwvbmtyd4he7uwr3rpcox3435lhtshizqrwtyvouqxjm,"""You know, these people are crazy. The biggest problem we have is nuclear warming, not global warming. And the nuclear people can’t have the nuclear. The nuclear is the power.""

Who's the crazy one?",[1] Energy; [2] Climate Change,No
bafyreidjrvph2avalttqi5uxargxf36scdlkx2hicw54xtct75bmvuqhge,I'm in Texas BTW😂😂😂,,No
bafyreigocednunraabfav2sgywmxeydcvbhjqezawhafnl4c7ovybqs4hi,Of course polluters must pay. Yet we have an absurd economic and political system where the public carries both the cost and harm from  pollution. Why? Because corporates have bought our politicians.,[1] Environment; [2] Pollution; [2] Environmental Policy and Governance,Yes
bafyreigqjnvnhh7xo7gyenzuhm22azdod5c7bkcm7rg7iqw4tprvg74exq,Attended @politico.eu event on EU #OceanPact today. MEP @IsabellaLövin rightfully reminded Commissioner Kadis that feeding farmed fish with wild fish is unsustainable and that pollution from intensive animal farming needs to be tackled in the Ocean Pact in order to prevent ocean dead zones.,[1] Environment; [2] Environmental Impact of Agriculture; [2] Sustainable Agriculture,Yes
bafyreibfnk65usabym4lvea2h3q3rqupnfd5rnvzphh6ugowlaiwg6qkc4,"Fun fact: According to IMF, the U.S. subsidizes the fossil fuel industry 10x more than education and the defense budget.",[2] Fossil Fuels,Yes
bafyreigieftkfvcxybi6jcaavmncyj6wbqce7pbkr76o7e6azeuitmcexe,"Yeah, it's the thing 
Global warming our children
Safe food our children
Human rights our children
Clean water our children 
National debt our children
Freedom from tyranny our children
Safe world our children...we're destroying it",[1] Environment; [2] Climate Change; [2] Public Health and Environment; [2] Social and Economic Sustainability,Yes
bafyreieruhmsduxpk245rxrvaddqygwdrn4ydppcevp2nqa4xn4l4xnigu,"Wow promoting sustainability, equality and climate change. How terrible",[1] Sustainable Development; [2] Climate Change,Yes
bafyreiffffloxxdz5mvd54dyk343ed64azepwmgq52zjeql3kylqqtfeb4,"youtu.be/v8dKXvqyhx4?...
#deforestation #coda #newmusic
#premier",[1] Environment; [2] Environmental Impact on Society and Health,Yes
bafyreihghsic4nadtqrycqci34xtjd2bbfakn3el7gmm4wivwvmb42kvby,"With just hours left of the negotiations, activists hosted an interactive show that could not be ignored by national delegations. Delegates shoveled ‘money’ from fossil fuel profits to the Loss & Damage Fund to help balance the ‘scales of climate justice’. 

📷 Marie Jacquemin

(3/4)",[2] Climate Justice; [2] Fossil Fuels; [2] Climate Change Policy and Regulation,Yes
bafyreibj2oiq2bbxj3o5g5bsd77w2bqnycenfyhktewq4qdlfrylh4msvi,"USA: Major reports about how climate change affects the US are removed from websites: 
 apnews.com/article/clim...",[1] Environment; [2] Climate Change; [2] Environmental Policy and Governance,Yes
bafyreiditdai6pw47qc4uum3javilcnzfuj4vzbo3qhi44ulvoimpc62zy,My theory is that dictators are grabbing power to insulate themselves from the fallout of worsening climate change. Increasingly scarce resources will leave more and more people starving and homeless and with little left to lose.,[1] Environment; [2] Climate Change; [2] Climate Justice,Yes
bafyreiheho5matdssgmfil7noxz5fqvlqmlhvdqgf5h23xialjaprysm74,"If you listen to world leaders, corporate executives, or legacy media, you might believe the climate crisis is simply a matter of “fixing” a few things. System change, not adaptation of the status quo, is our only hope for survival.",[1] Environment; [2] Climate Change,Yes
bafyreibv4mf27sgaq6kk7er2g7iywwgq2fr3ldashixonav2dkgyshy3na,Ranger Rick coming in clutch with climate change reporting.,[2] Climate Change Communication and Public Perception,Yes
bafyreiaooo46246lh5bklzc4bi2mzd3fsfb54gxhgor5uxyuk2yzu2hmre,This is so true - the mining companies (and btw energy companies too) aren’t paying the costs of climate change - it’s ordinary people in the affected communities who are paying. They’re paying $ costs and also the physical & emotional costs while companies continue to make profits,[1] Social Justice; [2] Climate Justice; [2] Fossil Fuels,Yes
bafyreiao4epzdpne2hizz4jknbjfu2uavjy2wfjeu4dtnlt7phh345ke4m,Windmills don’t turn if no wind and don’t turn if it is to windy. Solar is dead in the dark Unreliable energy,[2] Renewable Energy,Yes
bafyreih66f3ymzdtfegv4qndrqu2jexs3cody5mk6vzraqn2bayv4hxxta,"Here to learn from the  #EnergySky  fam. I’m a career investor in clean energy but looking into some “new to me sectors.” If there’s anyone I should follow who’s knowledgeable on sustainable chemicals, plastics recycling, or water tech, please tag!",[2] Renewable Energy; [2] Sustainable Development,Yes
bafyreih7pyd7fydponbp66yl4r6ryo7omwydohwjvsspzm5u4qlyq6kuau,"California's fire season is now year-round thanks to climate change. These LA fires are just the latest example. We're losing precious lives, homes, wildlife, and ecosystems.

Find out more about the climate crisis at eia-international.org/climate

#wildfires #losangeles #climatechange",[1] Environment; [2] Climate Change; [2] Disaster Management,Yes
bafyreiat25rejfrhtqf33yswnk2okrzq2jrmexnnow7fzco7suwkl6it7m,"Shhh ... don't talk about the damage from climate change, it'll harm Putin's disinformation offensive #r4today",[2] Climate Change Communication and Public Perception,Yes
bafyreia56dskbkntnclkainodb35bmog2qdjgdhufkvia64ulrgrxjsuxy,"@GreenFire

To the extent that PV panels leech toxic metals into the soil, if they do at all, that's a problem that can be addressed without banning them outright. Meanwhile, the FF companies fight like hell to overturn even modest requirements to reign in their pollution.",[2] Fossil Fuels; [2] Pollution,Yes
bafyreigkujdi3jozba4kp5xywvmwzm2kwu5xvs7qpnytcn5avgtwqbzoa4,"They see the word climate and just automatically think research into climate change. 

Completely the opposite. This is the USA weather data repository for an incredible range of research. We use the model analyses for example to develop better weather models. Holds the entire record of weather obs.",[1] Climate Science,No
bafyreicamr6ahiptjevhsmbnzn56wofgnyibd3cescj7d7olo2geekdqxy,"We need a fast and fair way to tackle climate change. This means a plan to phase out fossil fuels for good. Our politicians need to hear loud and clear that this is what we want. I’ve emailed mine, will you contact yours too? 

act.globaljustice.org.uk/node/4339/",[1] Energy; [2] Fossil Fuels; [2] Energy Policy and Transition; [1] Environment; [2] Climate Change,Yes
bafyreifxrvkqz4df7y2pgckylwey3sjajwybyaywbzaqqu7m2vcux7gaey,"NEW: Some oil and gas companies want to limit methane, a super powerful greenhouse gas warming Earth.

Nonetheless, Congress is about to kill a federal methane program that had industry support. 

www.njspotlightnews.org/2025/02/cong...

@njspotlightnews.bsky.social",[2] Fossil Fuels; [2] Climate Change; [2] Energy Policy and Transition,Yes
bafyreihucrr7xhogir7lxyasymkcceulnn25i2zc2sqyedk7r5x252peci,"www.wsj.com/opinion/why-tesla-doesnt-pay-taxes-democrats-green-energy-ev-mandates-3cbb2fd3.

 (10/10)",[1] Energy; [2] Renewable Energy; [2] Energy Policy and Transition; [2] Climate Change; [2] Environmental Policy and Governance,Yes
bafyreidfn7qhfeufdzssxlc5di2hvbe42rfu27tndsmvjbq3wwrelkdnci,Smith has undermined every opportunity the province has had to diversify our economy. We lost over 50 billion in renewable energy projects when the people of this province could have used the employment and has yet to hold O&G accountable to cleaning up their well sites. She is a traitor to Canada,[2] Fossil Fuels; [2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreihb27i2dqki7bpeoxjbpw2bcvkeg3pygi3beyncvl7jjfz7q3zyvq,"Animal agriculture is literally the leading driver of deforestation, including the destruction of the Amazon rainforest 

The 🇺🇸 is the 2nd largest importer of Brazilian beef",[1] Agriculture; [2] Environmental Impact of Agriculture; [2] Social and Economic Sustainability,Yes
bafyreiafucm63fxno6kyxutayjt54con446gpmsynrqejyynd6cfowetta,"""Decoding the affluent mindset: It's not just about wealth, but a strategic approach to financial freedom and sustainable growth. @ForbesInsight #AffluentMindset #FinancialWisdom"" read this: tinyurl.com/kindlyreadth...",[1] Social Justice,No
bafyreicnlwoynn5uvvhwemnsfpyx5ljoni4nzzzekjemgg4iiqypvqzabq,"I try, each day, to imagine a future of renewable energy, community gardens, people working together for the things we want. I might start writing down these imaginings just to hold them a little tighter.",[2] Renewable Energy; [2] Sustainable Development,Yes
bafyreidejedfukgc2ddfmf435xijhsps4icg4t3ssdl5suvbfxzqrhfpuu,"Always start by assuming that what an AI company is claiming is bullshit. From that starting point, assess what useful information is there. I recommend against sharing anything from AI companies. Memetic pollution spreads fast.",[1] Social Justice,No
bafyreia2uqhigosdfbw334ym7hglmcjvrow3qqiyfdaisk5l4ailuh7g3i,"The Seine River, in Paris 🇫🇷, was once a fresh and healthy river which people swam in 🏊 prior to 1923. After that, the river started to be polluted, and although it hosted swimming for the Olympics 🥇, the prior and current pollution caused multiple athletes to get sick.",[1] Environment; [2] Pollution,Yes
bafyreifvfvyxy4hokha5d2bupeguzcsqb557ftep4hfbbkdopxengegpwy,1/4 Blog @lawfaremedia.org with @alcis.org funded by @XCEPT It focuses on the transformative effects of solar power: how it has supported Afghan farmers cope with climate change but ultimately how its expansion now threatens the livelihoods of 3.65 million people www.lawfaremedia.org/article/unde...,[2] Renewable Energy; [2] Climate Change; [2] Social and Economic Sustainability,Yes
bafyreibppkhm5mqzg2sxwerndra4vfkvz5izxspaabqefkmqyoqobvhbea,"If WW2, the Blitz and the Battle of Britain are the UK's modern creation myths, then Threads and other nuclear war narratives are its eschatology, or at least some of them,  More pressing threats face us now, but mushroom clouds are always more evocative than climate change, particularly in Britain.",[1] Climate Science,No
bafyreid4khsizkprcjnavdzunxy4k34wxskyt624yaunfqzad32n3mjjjy,"I'm feeling major eco-grief.

The goal should be to phase out fossil fuels ASAP, not increase the consumption of electricity so much that that's not possible.

Here's a rather long thread of reasons to support 100% clean, RENEWABLE energy systems instead of nuclear power: 
bsky.app/profile/suzw...",[2] Fossil Fuels; [2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreigl2ggpwmqnkpgpbjwaow7zyn7s7leukvlerb5nvwbufkxv62vpmm,"EXACTLY! IOWA BUSINESSES ARE ALREADY CLOSING. LAYING OFF HUNDREDS. GOP REPUBLICAN DOGE LACKEYS ARE GUTTING EVERYTHING, THE STATE PARKS; SOCIAL SECURITY;  MEDICARE; SNAP; THE VA; VETERANS; EDUCATION; RENEWABLE ENERGY;  HEATHCARE; MENTAL HEALTH
LAKES, STREAMS FULL OF ECOLI. 
IOWANS DIDNT PAY FOR THIS!",[1] Energy; [2] Renewable Energy; [1] Environment; [2] Pollution; [2] Environmental Policy and Governance; [1] Health; [2] Public Health and Environment; [1] Social Justice; [2] Economic and Social Equity,Yes
bafyreieyxvdmmhtrqae6x33q6fx6dhidsek3tjmlok337agviltw3hfywy,Top MAGA scientists conclude climate change fully reversed due to success of Trump policies,[2] Climate Change Policy and Regulation,No
bafyreige24qu4lcsm7yec5hrgoaqb4uspv6dm4ofxrfidw6bspdp5kgd4u,"They are ending clean energy subsidies but keeping the fossil fuel subsidies.  Prepare for more and larger hurricanes.  

Wouldn't it be ironic if a cat 5 destroyed mara-loco",[2] Fossil Fuels; [2] Renewable Energy; [2] Climate Change,Yes
bafyreierhu2ygcwi57uosnodc4cioohrtaavnxoaqpvflzdugpggwittfm,"Oil ain't the problem with climate change, but slavery is the problem to oppress the poor",[1] Social Justice; [2] Climate Justice,No
bafyreia7w6s7c7332ekvukoozrn7f3zelg7bldl2fnccjmbprkbr4lcya4,"The study itself is much more nuanced. They say reductions can be achieved in combination with other sustainable practices like reducing food waste, socioeconomic improvements, and also use of weasel words such as ""with reductions up to 18-29%."" /2",[1] Sustainable Development; [2] Social and Economic Sustainability,Yes
bafyreihvh2uk67svcuuoc52m6eo2fan5dt26mjhr2oeh737j5cssme6aze,"it's OK to disagree; it's not a value judgment or an attack or anything. It helps to hear/read a cogent opposing opinion. Most of us know the current adminstration's  assessments are anecdotal manipulative junk science with ulterior motives, but valid objection should be heard.",[2] Climate Change Communication and Public Perception,Yes
bafyreigi2vjfbtpqyo5vmr3kbwoh2shfyrocswosa7itasswyfue6vz45m,"Germany should consider health effects of climate change across all policies - expert council
->Clean Energy Wire | #Health #ClimateChange | More info from EcoSearch",[1] Health; [2] Climate Change; [2] Public Health and Environment,Yes
bafyreieybhhdtjntyamwgfwtrvrltj4dcqlbbgro2w5mavxvjp7spcnazm,"I agree this framework applies well to present UK climate/energy politics! I'd place a greater emphasis on transit policy, which is a longtime organizing focus in the UK, a major Tory failure, but a soft/ill-defined spot in Starmer's clean-growth agenda.",[2] Energy Policy and Transition; [2] Sustainable Infrastructure and Mobility,Yes
bafyreiabkpzzvu7nwotzbnoos6rgyi46exwocu4pnvpb2w7ekmmkdc5xsa,"Rolling back these protections means more carbon and methane pollution—and a major setback for U.S. climate goals. We need stronger climate rules, not weaker ones.",[2] Climate Change Policy and Regulation; [2] Climate Change,Yes
bafyreibcddqbvnzvh5zkyc7tbqorzabmdnwydmmquole4ops5irnyqitua,"The thing that gets me too is like, sure, you can blame the Trump cuts for a lot of damage and loss of life. But also, a flash flood this devastating is mostly the result of climate change, and the same boomers I see being snarky about the death of kids also love AI slop.",[1] Environment; [2] Climate Change; [2] Climate Change Impacts and Adaptation,Yes
bafyreiau7cjuohc5s2d474kcfc3fvqsugumo72drcev7ukocudgbkzrxem,"Oh my bad, you are right. I knew it went back to individuals, but I thought 10% went to dealing with climate change emergencies like wildfires. I guess that comes from a different federal budget. Thanks for letting me know my mistake.😉",[2] Disaster Management,Yes
bafyreigpoaghgga2sbwubknjvlqhsl27hi66jw3jwun25pqo7pyylbhc2i,"Capturing and storing CO2 in Europe will be critical to meet climate goals.

The EU’s Net-Zero Industry Act places a binding obligation on oil and gas producers to actively support CO2 storage – marking a decisive step toward decarbonisation of hard-to-abate sectors.",[2] Energy Policy and Transition; [2] Climate Change,Yes
bafyreifxf5dxau3yavp5f5eqquujxo76t2vzbz6mzyznkza2ajmcmduxdu,"Absolutely - climate change is driving migration, societal collapse and natural disasters. It should be our number one priority.",[1] Environment; [2] Climate Change; [2] Climate Change Impacts and Adaptation; [2] Climate Change Policy and Regulation,Yes
bafyreiagno45kanhnutzdvlj6sh3eoejuvtr7vibrcuweundhwi72fgv4y,"Labor spend more time bribing @unesco.bsky.social not to list the reef as endangered than it does protecting it . Labor and UNESCO are owned by the Fossil fuel industry and have zero credibility in the climate and environmental community .
We see you ..
www.theguardian.com/environment/...",[2] Fossil Fuels; [2] Environmental Policy and Governance; [2] Climate Change,Yes
bafyreiedhij2h2blgz54v6qpegnreaordttnr4e62xmg5vdyd3emj67d6u,"Reforms to UK offshore wind

https://www.byteseu.com/777019/

25 February 2025 by Alex Brinded Proposed reforms by the UK Government to pave the way for clean power by 2030. © Nuttawut Uttamaharad / Shutterstock These reforms would create an energy system with lower bills for households and …",[1] Energy; [2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreihbjp2ytth3lxfltxwfh2tecdnzzyjxakwvdpnvlm2fdgnmvd6z3u,Authenticity sells. Aligning with nature = no greenwashing. It shows you walk the talk on sustainability and values.,[1] Sustainable Development,Yes
bafyreibbyt2gsmonzygh2tyqx4rouralcq7qq2jfflzl7rivg6jtkzja6i,"Klobuchar has routinely been voting for Trump's nominees. One example: she's the ranking member of the Ag committee and yet she voted for Brooke Rollins, a climate change denier, to be Secretary of Agriculture.",[1] Agriculture; [2] Climate Change Policy and Regulation,Yes
bafyreiee7nrnw4hcba7ua2lacha3iywonnp5ensifnedumgc4kvbuntevq,"Irreplaceable old-growth forests are logged daily. 96% of global deforestation hits tropics,6.6M ha in 2022 alone. Over 1,200 arrested to save them. No more delays. No to deforestation of our remaining forest #ProtectTheIrreplaceable #ClimateAction",[1] Environment; [2] Environmental Impact on Society and Health; [2] Climate Change,Yes
bafyreigj2b4bsybtz3vwkmgmmwdidkf6xp4ganade37jytln2woocjtbna,We also have lots of fresh water in Canada. Something he mentioned in campaign… which to me is very worrisome as climate change is reducing groundwater reserves in  US. Maybe I’m paranoid….,[1] Environment; [2] Climate Change,Yes
bafyreie3noa4teias66e3w2hb74d45f7phyuvs26jcozfhvmjqzzwf7idm,"After stealing credit for the hostage release that Carter brokered, Reagan's FIRST EO, was to remove the solar panels and doom the US to fossil fuel dependency and all the war death and violence because of it.

Republicans are vile sociopaths. 

PERIOD.

Capitalism is destroying US.",[2] Renewable Energy; [2] Fossil Fuels; [2] Energy Policy and Transition; [2] Climate Justice,Yes
bafyreiet27dwac2fahbfhwocsmdds5hprmofp3kwcsfpxlveuz46y625zm,"exept for the cold snow, but due to global warming there won't be any anyway",[2] Climate Change,Yes
bafyreiaedl3b3ljtac7263baokj3dd6oegrzwlndlsobpotxtsfhdsvzyy,"Just for the sake of contrast: Democrats invested $400,000,000,000.00 in renewable energy during Biden's term.

Both sides aren't the same, and the differences matter.",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreih7bmz3klfwdci7lhoxlg4w43xmwudrsubvb6jhnku4hrsgl4t2wu,Climate change isn't declared a national emergency. Assault rifles are legal. School shootings happen every week. Necessities aren't affordable. Why? Because rich people are paying for these problems to never be solved and are profiting from these issues. (2/4),[1] Social Justice; [2] Climate Justice; [2] Economic and Social Equity,Yes
bafyreibepjjdgmxl6tylb22jmxijfw7hrybkk4a2ypymsyktmihbirn224,"Matt (or the Breakthrough boys he's caping for) rejects the policies required to hold temps to 2 degrees, which is an implicit argument that those policies would be worse for human welfare than the climate change they avoided. OK, fine. How much policy effort *is* justified?",[2] Energy Policy and Transition; [2] Climate Change Policy and Regulation; [2] Climate Change Communication and Public Perception,Yes
bafyreiayuk4rmaeuwru2gszjhprt6qifd357qrumfci3lzxhnroadyllue,I’m sure the fact Labour have received a £4m donation from an arms and fossil fuel investing trading firm is completely incidental.,[2] Fossil Fuels; [2] Energy Policy and Transition,Yes
