cid,text,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,bert_topic_keywords,bert_topic_name,lda_keywords_llm_truth,bert_keywords__llm_truth,llm_theme_llm_truth,llm_summ_llm_truth,lda_keywords_human_truth,bert_keywords_human_truth,llm_theme_human_truth,llm_summ_human_truth,,,,
bafyreibv4mf27sgaq6kk7er2g7iywwgq2fr3ldashixonav2dkgyshy3na,Ranger Rick coming in clutch with climate change reporting.,Climate justice action,Wildlife climate crisis,92,"damage, leave, late, new, trust",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,No,No,Yes,Yes,,,,
bafyreiaooo46246lh5bklzc4bi2mzd3fsfb54gxhgor5uxyuk2yzu2hmre,This is so true - the mining companies (and btw energy companies too) aren’t paying the costs of climate change - it’s ordinary people in the affected communities who are paying. They’re paying $ costs and also the physical & emotional costs while companies continue to make profits,Corporate Climate Accountability,Corporate Climate Accountability,49,"many, money, cause, people, climate",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreiao4epzdpne2hizz4jknbjfu2uavjy2wfjeu4dtnlt7phh345ke4m,Windmills don’t turn if no wind and don’t turn if it is to windy. Solar is dead in the dark Unreliable energy,Anti-renewable hypocrisy,Anti-renewable hypocrisy,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social,TRUE,FALSE,FALSE,FALSE,Yes,No,No,No,,,,
bafyreih66f3ymzdtfegv4qndrqu2jexs3cody5mk6vzraqn2bayv4hxxta,"Here to learn from the  #EnergySky  fam. I’m a career investor in clean energy but looking into some “new to me sectors.” If there’s anyone I should follow who’s knowledgeable on sustainable chemicals, plastics recycling, or water tech, please tag!",Climate action collaboration,Water resilience,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social,TRUE,FALSE,FALSE,TRUE,Yes,No,Yes,Yes,,,,
bafyreih7pyd7fydponbp66yl4r6ryo7omwydohwjvsspzm5u4qlyq6kuau,"California's fire season is now year-round thanks to climate change. These LA fires are just the latest example. We're losing precious lives, homes, wildlife, and ecosystems.

Find out more about the climate crisis at eia-international.org/climate

#wildfires #losangeles #climatechange",Climate-fueled wildfires,Climate-fueled wildfires,70,"fire, climate, change, point, post","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire,TRUE,TRUE,TRUE,TRUE,Yes,Yes,Yes,Yes,,,,
bafyreiat25rejfrhtqf33yswnk2okrzq2jrmexnnow7fzco7suwkl6it7m,"Shhh ... don't talk about the damage from climate change, it'll harm Putin's disinformation offensive #r4today",Science under attack,Science under attack,22,"climate, change, talk, denier, taking","ukraine, russia, putin, russian, sustainable peace, peace, peace ukraine, war, war ukraine, zelenskyy",33_ukraine_russia_putin_russian,TRUE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreia56dskbkntnclkainodb35bmog2qdjgdhufkvia64ulrgrxjsuxy,"@GreenFire

To the extent that PV panels leech toxic metals into the soil, if they do at all, that's a problem that can be addressed without banning them outright. Meanwhile, the FF companies fight like hell to overturn even modest requirements to reign in their pollution.",Fossil fuel deception,Climate rollbacks,12,"plastic, storage, major, pollution, benefit","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure,FALSE,FALSE,TRUE,TRUE,No,No,No,No,,,,
bafyreigkujdi3jozba4kp5xywvmwzm2kwu5xvs7qpnytcn5avgtwqbzoa4,"They see the word climate and just automatically think research into climate change. 

Completely the opposite. This is the USA weather data repository for an incredible range of research. We use the model analyses for example to develop better weather models. Holds the entire record of weather obs.",Science under attack,Science under attack,47,"thing, something, change, climate, actually",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreicamr6ahiptjevhsmbnzn56wofgnyibd3cescj7d7olo2geekdqxy,"We need a fast and fair way to tackle climate change. This means a plan to phase out fossil fuels for good. Our politicians need to hear loud and clear that this is what we want. I’ve emailed mine, will you contact yours too? 

act.globaljustice.org.uk/node/4339/",Climate justice action,End fossil fuels,82,"want, climate, change, put, political",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,Yes,No,,,,
bafyreifxrvkqz4df7y2pgckylwey3sjajwybyaywbzaqqu7m2vcux7gaey,"NEW: Some oil and gas companies want to limit methane, a super powerful greenhouse gas warming Earth.

Nonetheless, Congress is about to kill a federal methane program that had industry support. 

www.njspotlightnews.org/2025/02/cong...

@njspotlightnews.bsky.social",Fossil fuel deception,Climate rollbacks,36,"oil, drilling, gas, price, trump","co2, methane, methane emissions, atmosphere, greenhouse, greenhouse gas, ppm, landfills, potent greenhouse, potent",40_co2_methane_methane emissions_atmosphere,TRUE,TRUE,TRUE,TRUE,Yes,No,Yes,No,,,,
bafyreihucrr7xhogir7lxyasymkcceulnn25i2zc2sqyedk7r5x252peci,"www.wsj.com/opinion/why-tesla-doesnt-pay-taxes-democrats-green-energy-ev-mandates-3cbb2fd3.

 (10/10)",EV transition barriers,EV transition barriers,0,"research, lack, blame, faster, marine",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,Yes,Yes,,,,
bafyreidfn7qhfeufdzssxlc5di2hvbe42rfu27tndsmvjbq3wwrelkdnci,Smith has undermined every opportunity the province has had to diversify our economy. We lost over 50 billion in renewable energy projects when the people of this province could have used the employment and has yet to hold O&G accountable to cleaning up their well sites. She is a traitor to Canada,End fossil fuels,End fossil fuels,8,"since, often, hot, despite, ok","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta,FALSE,TRUE,FALSE,FALSE,No,Yes,Yes,Yes,,,,
bafyreihb27i2dqki7bpeoxjbpw2bcvkeg3pygi3beyncvl7jjfz7q3zyvq,"Animal agriculture is literally the leading driver of deforestation, including the destruction of the Amazon rainforest 

The 🇺🇸 is the 2nd largest importer of Brazilian beef",Deforestation & Wildlife Crisis,Deforestation & Wildlife Crisis,29,"rate, climate, change, worst, amazon","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil,TRUE,TRUE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreiafucm63fxno6kyxutayjt54con446gpmsynrqejyynd6cfowetta,"""Decoding the affluent mindset: It's not just about wealth, but a strategic approach to financial freedom and sustainable growth. @ForbesInsight #AffluentMindset #FinancialWisdom"" read this: tinyurl.com/kindlyreadth...",Science under attack,Climate justice action,54,"environmental, far, growth, economic, effort",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreicnlwoynn5uvvhwemnsfpyx5ljoni4nzzzekjemgg4iiqypvqzabq,"I try, each day, to imagine a future of renewable energy, community gardens, people working together for the things we want. I might start writing down these imaginings just to hold them a little tighter.",Climate action collaboration,Climate action collaboration,47,"thing, something, change, climate, actually",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreidejedfukgc2ddfmf435xijhsps4icg4t3ssdl5suvbfxzqrhfpuu,"Always start by assuming that what an AI company is claiming is bullshit. From that starting point, assess what useful information is there. I recommend against sharing anything from AI companies. Memetic pollution spreads fast.",Science under attack,Science under attack,66,"company, group, agree, consumption, according","ai, data centers, centers, data, ai data, data center, llm, chatbot, intelligence, robotics",3_ai_data centers_centers_data,FALSE,TRUE,FALSE,FALSE,No,No,No,No,,,,
bafyreia2uqhigosdfbw334ym7hglmcjvrow3qqiyfdaisk5l4ailuh7g3i,"The Seine River, in Paris 🇫🇷, was once a fresh and healthy river which people swam in 🏊 prior to 1923. After that, the river started to be polluted, and although it hosted swimming for the Olympics 🥇, the prior and current pollution caused multiple athletes to get sick.",Water pollution crisis,Water pollution crisis,2,"science, protect, rich, republican, order","river, sewage, water pollution, fluoride, water, swimming, pfas, river pollution, nationalise, rivers",46_river_sewage_water pollution_fluoride,FALSE,TRUE,TRUE,TRUE,No,Yes,Yes,Yes,,,,
bafyreifvfvyxy4hokha5d2bupeguzcsqb557ftep4hfbbkdopxengegpwy,1/4 Blog @lawfaremedia.org with @alcis.org funded by @XCEPT It focuses on the transformative effects of solar power: how it has supported Afghan farmers cope with climate change but ultimately how its expansion now threatens the livelihoods of 3.65 million people www.lawfaremedia.org/article/unde...,Climate justice action,Climate action collaboration,3,"climate, change, real, believe, feel","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels,FALSE,TRUE,FALSE,FALSE,No,Yes,No,Yes,,,,
bafyreibppkhm5mqzg2sxwerndra4vfkvz5izxspaabqefkmqyoqobvhbea,"If WW2, the Blitz and the Battle of Britain are the UK's modern creation myths, then Threads and other nuclear war narratives are its eschatology, or at least some of them,  More pressing threats face us now, but mushroom clouds are always more evocative than climate change, particularly in Britain.",Climate unease,Climate unease,27,"away, though, art, watch, mostly",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,No,No,No,No,,,,
bafyreid4khsizkprcjnavdzunxy4k34wxskyt624yaunfqzad32n3mjjjy,"I'm feeling major eco-grief.

The goal should be to phase out fossil fuels ASAP, not increase the consumption of electricity so much that that's not possible.

Here's a rather long thread of reasons to support 100% clean, RENEWABLE energy systems instead of nuclear power: 
bsky.app/profile/suzw...",EV transition barriers,Climate unease,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social,TRUE,FALSE,FALSE,FALSE,Yes,No,Yes,No,,,,
bafyreigl2ggpwmqnkpgpbjwaow7zyn7s7leukvlerb5nvwbufkxv62vpmm,"EXACTLY! IOWA BUSINESSES ARE ALREADY CLOSING. LAYING OFF HUNDREDS. GOP REPUBLICAN DOGE LACKEYS ARE GUTTING EVERYTHING, THE STATE PARKS; SOCIAL SECURITY;  MEDICARE; SNAP; THE VA; VETERANS; EDUCATION; RENEWABLE ENERGY;  HEATHCARE; MENTAL HEALTH
LAKES, STREAMS FULL OF ECOLI. 
IOWANS DIDNT PAY FOR THIS!",Wealth vs. Welfare,Water pollution crisis,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,TRUE,No,No,No,Yes,,,,
bafyreieyxvdmmhtrqae6x33q6fx6dhidsek3tjmlok337agviltw3hfywy,Top MAGA scientists conclude climate change fully reversed due to success of Trump policies,MAGA Climate Deception,Science under attack,17,"due, nation, true, climate, analysis",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,No,No,No,Yes,,,,
bafyreige24qu4lcsm7yec5hrgoaqb4uspv6dm4ofxrfidw6bspdp5kgd4u,"They are ending clean energy subsidies but keeping the fossil fuel subsidies.  Prepare for more and larger hurricanes.  

Wouldn't it be ironic if a cat 5 destroyed mara-loco",Fossil Fuel Overreach,Climate rollbacks,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreierhu2ygcwi57uosnodc4cioohrtaavnxoaqpvflzdugpggwittfm,"Oil ain't the problem with climate change, but slavery is the problem to oppress the poor",Starry night preservation,Oil's Deceptive Greed,87,"problem, kind, thanks, climate, link","capitalism, rich, billionaires, private jets, billionaires earth, jets, rich people, compounds, prioritizes, vid",47_capitalism_rich_billionaires_private jets,FALSE,FALSE,TRUE,FALSE,No,No,No,No,,,,
bafyreia7w6s7c7332ekvukoozrn7f3zelg7bldl2fnccjmbprkbr4lcya4,"The study itself is much more nuanced. They say reductions can be achieved in combination with other sustainable practices like reducing food waste, socioeconomic improvements, and also use of weasel words such as ""with reductions up to 18-29%."" /2",Science under attack,Climate action collaboration,11,"got, food, business, enough, sustainable",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,TRUE,No,No,No,No,,,,
bafyreihvh2uk67svcuuoc52m6eo2fan5dt26mjhr2oeh737j5cssme6aze,"it's OK to disagree; it's not a value judgment or an attack or anything. It helps to hear/read a cogent opposing opinion. Most of us know the current adminstration's  assessments are anecdotal manipulative junk science with ulterior motives, but valid objection should be heard.",Science under attack,Science under attack,2,"science, protect, rich, republican, order","junk, junk science, rfk, science, rfk jr, jr, debunked, does harm, abortion, drug",45_junk_junk science_rfk_science,TRUE,TRUE,TRUE,TRUE,No,Yes,Yes,No,,,,
bafyreigi2vjfbtpqyo5vmr3kbwoh2shfyrocswosa7itasswyfue6vz45m,"Germany should consider health effects of climate change across all policies - expert council
->Clean Energy Wire | #Health #ClimateChange | More info from EcoSearch",Climate legal accountability,Water pollution crisis,24,"climatechange, info, ecosearch, climate, change",,-1_clean energy_social_green_bsky social,TRUE,FALSE,FALSE,TRUE,Yes,No,No,No,,,,
bafyreieybhhdtjntyamwgfwtrvrltj4dcqlbbgro2w5mavxvjp7spcnazm,"I agree this framework applies well to present UK climate/energy politics! I'd place a greater emphasis on transit policy, which is a longtime organizing focus in the UK, a major Tory failure, but a soft/ill-defined spot in Starmer's clean-growth agenda.",Climate justice action,EV transition barriers,46,"good, uk, news, bad, climate","transport, transit, bus, sustainable transport, trains, transportation, bike, cycling, public transport, bikes",19_transport_transit_bus_sustainable transport,FALSE,TRUE,TRUE,FALSE,Yes,Yes,No,Yes,,,,
bafyreiabkpzzvu7nwotzbnoos6rgyi46exwocu4pnvpb2w7ekmmkdc5xsa,"Rolling back these protections means more carbon and methane pollution—and a major setback for U.S. climate goals. We need stronger climate rules, not weaker ones.",Fossil Fuel Overreach,Climate rollbacks,50,"mean, climate, party, change, drill","epa, trump epa, repeal, agency, greenhouse gas, greenhouse, epa plans, limits, finding, epa trump",32_epa_trump epa_repeal_agency,FALSE,TRUE,TRUE,TRUE,No,Yes,Yes,Yes,,,,
bafyreibcddqbvnzvh5zkyc7tbqorzabmdnwydmmquole4ops5irnyqitua,"The thing that gets me too is like, sure, you can blame the Trump cuts for a lot of damage and loss of life. But also, a flash flood this devastating is mostly the result of climate change, and the same boomers I see being snarky about the death of kids also love AI slop.",Climate injustice exposed,Climate rollbacks,47,"thing, something, change, climate, actually","doesn believe, believes, donald, trump, change hoax, donald trump, doesn, thinks, believes climate, hoax",2_doesn believe_believes_donald_trump,FALSE,TRUE,TRUE,TRUE,Yes,Yes,Yes,Yes,,,,
bafyreiau7cjuohc5s2d474kcfc3fvqsugumo72drcev7ukocudgbkzrxem,"Oh my bad, you are right. I knew it went back to individuals, but I thought 10% went to dealing with climate change emergencies like wildfires. I guess that comes from a different federal budget. Thanks for letting me know my mistake.😉",Insurance Climate Urgency,Climate-fueled wildfires,15,"climate, change, reality, yeah, oh",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,Yes,No,Yes,No,,,,
bafyreigpoaghgga2sbwubknjvlqhsl27hi66jw3jwun25pqo7pyylbhc2i,"Capturing and storing CO2 in Europe will be critical to meet climate goals.

The EU’s Net-Zero Industry Act places a binding obligation on oil and gas producers to actively support CO2 storage – marking a decisive step toward decarbonisation of hard-to-abate sectors.",Green Energy Sovereignty,End fossil fuels,36,"oil, drilling, gas, price, trump",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,No,No,No,No,,,,
bafyreifxf5dxau3yavp5f5eqquujxo76t2vzbz6mzyznkza2ajmcmduxdu,"Absolutely - climate change is driving migration, societal collapse and natural disasters. It should be our number one priority.",Climate migration crisis,Climate migration crisis,64,"climate, change, risk, study, fact",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreiagno45kanhnutzdvlj6sh3eoejuvtr7vibrcuweundhwi72fgv4y,"Labor spend more time bribing @unesco.bsky.social not to list the reef as endangered than it does protecting it . Labor and UNESCO are owned by the Fossil fuel industry and have zero credibility in the climate and environmental community .
We see you ..
www.theguardian.com/environment/...",End fossil fuels,Oil's Deceptive Greed,5,"fuel, fossil, industry, stop, company",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreiedhij2h2blgz54v6qpegnreaordttnr4e62xmg5vdyd3emj67d6u,"Reforms to UK offshore wind

https://www.byteseu.com/777019/

25 February 2025 by Alex Brinded Proposed reforms by the UK Government to pave the way for clean power by 2030. © Nuttawut Uttamaharad / Shutterstock These reforms would create an energy system with lower bills for households and …",Green Energy Sovereignty,Renewable Energy Momentum,93,"give, kill, try, reform, mind",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,No,No,Yes,Yes,,,,
bafyreihbjp2ytth3lxfltxwfh2tecdnzzyjxakwvdpnvlm2fdgnmvd6z3u,Authenticity sells. Aligning with nature = no greenwashing. It shows you walk the talk on sustainability and values.,Independent investigative journalism,Deforestation & Wildlife Crisis,22,"climate, change, talk, denier, taking","greenwashing, unearthed, greenwashing law, claims, cma, grapes, und, auch, labels, guidance",37_greenwashing_unearthed_greenwashing law_claims,FALSE,TRUE,FALSE,FALSE,Yes,No,No,No,,,,
bafyreibbyt2gsmonzygh2tyqx4rouralcq7qq2jfflzl7rivg6jtkzja6i,"Klobuchar has routinely been voting for Trump's nominees. One example: she's the ranking member of the Ag committee and yet she voted for Brooke Rollins, a climate change denier, to be Secretary of Agriculture.",MAGA Climate Deception,MAGA Climate Deception,48,"climate, said, change, forward, talking","harris, kamala, kamala harris, fracking, green new, new deal, genocide, aoc, jill stein, pro",18_harris_kamala_kamala harris_fracking,FALSE,FALSE,TRUE,TRUE,No,No,No,Yes,,,,
bafyreiee7nrnw4hcba7ua2lacha3iywonnp5ensifnedumgc4kvbuntevq,"Irreplaceable old-growth forests are logged daily. 96% of global deforestation hits tropics,6.6M ha in 2022 alone. Over 1,200 arrested to save them. No more delays. No to deforestation of our remaining forest #ProtectTheIrreplaceable #ClimateAction",Deforestation & Wildlife Crisis,Deforestation & Wildlife Crisis,13,"life, planet, human, house, right","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil,FALSE,TRUE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreigj2b4bsybtz3vwkmgmmwdidkf6xp4ganade37jytln2woocjtbna,We also have lots of fresh water in Canada. Something he mentioned in campaign… which to me is very worrisome as climate change is reducing groundwater reserves in  US. Maybe I’m paranoid….,Water resilience,Water resilience,38,"climate, important, change, increasing, biggest","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta,FALSE,FALSE,TRUE,TRUE,Yes,Yes,Yes,Yes,,,,
bafyreie3noa4teias66e3w2hb74d45f7phyuvs26jcozfhvmjqzzwf7idm,"After stealing credit for the hostage release that Carter brokered, Reagan's FIRST EO, was to remove the solar panels and doom the US to fossil fuel dependency and all the war death and violence because of it.

Republicans are vile sociopaths. 

PERIOD.

Capitalism is destroying US.",Capitalism's climate doom,Climate rollbacks,5,"fuel, fossil, industry, stop, company",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreiet27dwac2fahbfhwocsmdds5hprmofp3kwcsfpxlveuz46y625zm,"exept for the cold snow, but due to global warming there won't be any anyway",Climate unease,Climate unease,88,"global, warming, course, ice, half","snow, degrees, winter, cold, summer, winters, ski, october, sucks, hot",15_snow_degrees_winter_cold,TRUE,FALSE,TRUE,TRUE,No,Yes,Yes,Yes,,,,
bafyreiaedl3b3ljtac7263baokj3dd6oegrzwlndlsobpotxtsfhdsvzyy,"Just for the sake of contrast: Democrats invested $400,000,000,000.00 in renewable energy during Biden's term.

Both sides aren't the same, and the differences matter.",Renewable Energy Momentum,Renewable Energy Momentum,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreih7bmz3klfwdci7lhoxlg4w43xmwudrsubvb6jhnku4hrsgl4t2wu,Climate change isn't declared a national emergency. Assault rifles are legal. School shootings happen every week. Necessities aren't affordable. Why? Because rich people are paying for these problems to never be solved and are profiting from these issues. (2/4),Capitalism's climate doom,Wealth vs. Welfare,92,"damage, leave, late, new, trust",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,No,No,Yes,No,,,,
bafyreibepjjdgmxl6tylb22jmxijfw7hrybkk4a2ypymsyktmihbirn224,"Matt (or the Breakthrough boys he's caping for) rejects the policies required to hold temps to 2 degrees, which is an implicit argument that those policies would be worse for human welfare than the climate change they avoided. OK, fine. How much policy effort *is* justified?",Capitalism's climate doom,Climate rollbacks,77,"end, worse, everything, become, please",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,Yes,No,No,No,,,,
bafyreiayuk4rmaeuwru2gszjhprt6qifd357qrumfci3lzxhnroadyllue,I’m sure the fact Labour have received a £4m donation from an arms and fossil fuel investing trading firm is completely incidental.,Renewable Energy Momentum,End fossil fuels,5,"fuel, fossil, industry, stop, company",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,FALSE,Yes,No,No,No,,,,
bafyreihbegntj6eif3g2kr7aawujio2lxtr5vfs6zl3fzzqlg6zhpwwdiy,"COP29 ""inappropriate corporate influence and captured by the fossil fuel sector""",Oil's Deceptive Greed,Fossil fuel deception,5,"fuel, fossil, industry, stop, company",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreidul2agtck2mri7m3o6ihrxydghx5s3br5pbdz3zdo7zylnnl62cu,WE NEED TO DEAL WITH CLIMATE CHANGE WHAT THE HELL,Climate justice action,End fossil fuels,3,"climate, change, real, believe, feel","change climate, hell climate, humanity, people die, sure climate, mention climate, change isn, extinction, human society, destiny",10_change climate_hell climate_humanity_people die,TRUE,FALSE,TRUE,TRUE,No,No,No,No,,,,
bafyreibxslwdpk5bbilaagnisnvgs6eehyugey4pfl6vn7jipst75x3c5a,"The stupid woke liberals want you to think climate change is real.

Stupid woke liberals!

Joni Ernst believes in commonsense ideas like climate change is God creating beach-front property.

Joni Ernst: Everyone should have beach-front property!

Hi, I’m Joni Ernst, and we are all going to die!",MAGA Climate Deception,Climate Denial Backlash,3,"climate, change, real, believe, feel",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,No,Yes,,,,
bafyreienvqjet37njfycabkgweitbwi7kwgxslp46vj5h5vxw654vh3t5a,"I never avoid replacing a screw or bolt that was too thin or too short; often, I improvise by drilling new holes where they missed.

A bookshelf required glue to assure it was firm.",Sound's dual impact,Sound's dual impact,76,"climate, report, change, effect, canada","drilling, holes, drilling holes, drilling hole, hole, wall, dentist, drill, hammering, like drilling",9_drilling_holes_drilling holes_drilling hole,FALSE,TRUE,FALSE,FALSE,No,No,No,No,,,,
bafyreianm4325ct722hhwmgnzj26d5c3qbvlvq4bpccbyiwcilep5lg3uu,"And the rabbit hole goes deeper, Tesla’s stock dives, Trumps vultures circle. Trump and his cronies buy Tesla and dismantle it for the fossil fuel stakeholders. Trump and Musk are not friends. Trump will bury this guy for money and power. They all get burnt.",Fossil fuel corruption,EV transition barriers,58,"get, epa, gop, remember, corporation",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,TRUE,No,No,Yes,Yes,,,,
bafyreib7qbfp5rahckict2kdnch4thpmpaoodornma3qfxnu2jhzww74pi,"•suppress scientific research on climate change, fracking, or any other issue that a majority of scientists agree upon.
•criminalize abortion or restrict healthcare for women.
•violate the Geneva Convention.",MAGA Climate Deception,Climate rollbacks,56,"climate, change, scientist, war, expert",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,No,Yes,,,,
bafyreihlqf6b4wsywbmzjedfkfp6hg3ie72e3kgiimvhnc44ockjevaqve,"That's the highly improbable scenario of net zero by 2055 with other forcings stable after 2030.

In practice greenhouse gas emissions are still going up and aerosols are rapidly decreasing, causing the net forcing to increase.

So it's not surprising that we're passing the model range",Deadly Heat Crisis,Fossil fuel deception,81,"pollution, air, city, show, focus","net zero, zero, net, sceptic, emissions 2050, uk net, credible, badenoch, zero emissions, britain",102_net zero_zero_net_sceptic,FALSE,TRUE,TRUE,FALSE,No,Yes,No,No,,,,
bafyreihe2tbx33mcihmvzfrapqocs6k2twbatmpul3mn7p5qpp2w27syki,"Have you any idea if it's linked to loss of revenue from the Elect companies (they are panicking), or is it a grid problem?I'm seeing governments (European Union) worried with the existing unprepared grid absolutely not designed for large scale renewable energy integration...",Green Energy Sovereignty,EV transition barriers,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social,TRUE,FALSE,FALSE,TRUE,No,No,Yes,No,,,,
bafyreifesb2r75vaxp4y2teiukca4nkzoc4la46ssfn4tgfgpamkzh2l7i,Does really surprise me even though it is awful for her. These fossil fuel industries will go to great lengths to protect their profits. Our world is slowly choking to death on plastic.,Oil's Deceptive Greed,Plastic treaty failure,5,"fuel, fossil, industry, stop, company","harris, kamala, kamala harris, fracking, green new, new deal, genocide, aoc, jill stein, pro",18_harris_kamala_kamala harris_fracking,TRUE,FALSE,TRUE,TRUE,Yes,Yes,No,Yes,,,,
bafyreidkimpjt4vz6k43eduzndy2tia43altwlooejbdokhgu44lorpnf4,"Here's my sketch of their emerging narrative: 

1. Climate change is real, it has always happened, and we can adapt, but will really only be disastrous for people not like YOU. 
2. In fact for people like YOU there could be upside! 
3a. But instead protecting people like YOU with adaptation...",Fossil fuel deception,Science under attack,3,"climate, change, real, believe, feel",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,FALSE,Yes,No,No,No,,,,
bafyreiari5ozmnsa2jutq465yxadze3zahbfhv42gw6qg4oxq2hjuf5zde,"Climate change tests the wildlife conservation model in Namibia
->Resilience | #ClimateChange #WildlifeConservation | More info from EcoSearch",Wildlife climate crisis,Wildlife climate crisis,24,"climatechange, info, ecosearch, climate, change","species, habitat, habitat loss, animals, homo, change habitat, habitats, extinct, wolf, conservation efforts",44_species_habitat_habitat loss_animals,TRUE,TRUE,TRUE,TRUE,Yes,Yes,Yes,Yes,,,,
bafyreiga34mrz5j4sea7s7mcjzwapfrc3cztal4ryyxk545armcg2ngzoi,"MAGA do not understand how statistics work. If one person defrauds welfare, everyone does. If one vaccinated person dies of Covid, vaccinations don’t work. If it snows one day, there’s no such thing as global warming.  If one trans wins a race, all girls are affected.

MAGA be DUMB.",MAGA Climate Deception,MAGA Climate Deception,68,"still, everyone, idea, yet, greenwashing","maga, maga climate, nascar, maga maga, maga believe, believe human, crud, lasers, magas, thing global",63_maga_maga climate_nascar_maga maga,FALSE,FALSE,TRUE,TRUE,No,Yes,No,No,,,,
bafyreigx5kclytue342sym66zl25ozed2task6abe6ln6lxzlsz43dl4jm,"✨ Tired of endless searches for quality shops? Meet ooia.de Female-founded, sustainable period & bodywear loved by 400k+ women! 🌸 Swap disposables, save $$$ (check comments!). Shop smart: ooia.de #SustainableFashion #EthicalShopping #CycleSavvy",Sustainable luxury fashion,Sustainable luxury fashion,11,"got, food, business, enough, sustainable","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt,FALSE,TRUE,TRUE,TRUE,No,Yes,No,No,,,,
