cid,text,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,topic_keywords,topic_name
bafyreihyoccp3icg2revyd3x7w6nxpiv5zq35plzrjr2wu62z2lha75rou,"""In Delhi, the researchers found particles from industrial pollution, including chemicals used in the manufacture of plastics, laminates and adhesives, and in recycling electronic waste. Particle pollution from traffic was greatest in Delhi.""

www.theguardian.com/environment/...",Water resilience,Water pollution,81,"pollution, air, city, show, focus","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreidt5tujrxjf6iqbyipdwf4h5hndgsklbgvoyybs4iqvrnlmtm6vmy,"Renewable generation and pumped storage equalled 38% of yesterday's electricity demand, with a peak of 51% at 15:45. Fossil fuel generation (mostly gas) equalled 56% of demand. 0% of generation was exported, 7% of demand was met by imports.",Green Energy Sovereignty,Clean energy,84,"sure, demand, job, lead, needed",,-1_clean energy_social_green_bsky social
bafyreihomq7ewzpojablvwmxxin76pcfjz76rz2wsbvbf7tmxaogjkkhcy,"[5-6] Ocean Floor 

Ocean floors are now mapped to a degree that rivals land geography. Deep sea drilling and mining advances make it a new frontier + battleground for economic exploitation. 
UNCLOS regulates conflicts of overlapping claims within the 200 nm EEZ.

world-processor.com/wp1-200#/5-6...",Resource expansion drilling,Ocean conservation,20,"health, care, anything, social, increase",,-1_clean energy_social_green_bsky social
bafyreie46vjdm5oe5weee4mgm2hn4i5wylntrxocwg7aoggjznw6nnr2ve,"Can we finally say now that green renewable energy, non-car-dependent cities, and farming are the key to Canadaâs future?",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta
bafyreiajvxyc5rtxrril6balp3w6hhpahis7r3uamnvjhsbz4uumtxdjba,"Localization is not the same as translationâthis just can't be sustainable. It can't... please, for the love of god, it cannot.

I've been watching through the PokÃ©mon anime with my wife, and good grief, I can't imagine how much of its soul and charm would be lost without all the *incredible* puns.",Sound's dual impact,Anti-Deforestation,57,"see, ca, find, old, light",,-1_clean energy_social_green_bsky social
bafyreidiyy5dfusm3hmvwk4vqmrgxdzwl5q6whrt5bindwan5w5t5qlsx4,"How Italyâs Wine Industry is Going Green

https://www.diningandcooking.com/2246004/how-italys-wine-industry-is-going-green-2/

Welcome to 3p Happy Hour! As we all eye the exit door on Friday afternoons, weâre raising our glasses to the sustainable wine, beer and spirits brands serving up stiff â¦",Responsible tourism future,Sustainable Fashion,26,"earth, used, international, leading, produce",,-1_clean energy_social_green_bsky social
bafyreihcexxsoqn4dhbgitgo3zcywlzfl7mbvzuaez7uyc5uuwni672rba,And a better chance of surviving global warming!!ð,Trees for Climate,Climate Wildfires,88,"global, warming, course, ice, half","global warming, warming, global, heatwave, 24hr, heat, nuclear winter, 5c, warming global, temperatures",13_global warming_warming_global_heatwave
bafyreichdxlzs6i52auuyekmrkiercdavmezrjv7hjrdtbagd6e37v3vhy,"Energy agency urges new German government to unleash potential of renewable power PPAs

State-run dena says agreements provide businesses with planning security, reduce stateâs costs for renewables expansion 

www.cleanenergywire.org/news/energy-...",Green Energy Sovereignty,Clean energy,99,"energy, clean, renewable, green, bill","eu, energy wire, spain, europe, gen, load, renewable power, eurostat, energy action, wire",77_eu_energy wire_spain_europe
bafyreievoy2dnvhfm53eges5bb6l4sosrowxh63uosbnhglrk63amdjqty,"This. I love! Wish folks would insist on the use of the term ""safe energy.""
Petro energy is not safe for people or our planet. Renewable are...SAFE.",EV transition barriers,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreib2xt6siche46l3oucwgsv4476f43cmj5aq4m7o6znpgvd5bgwvbi,"www.abc.net.au/news/2025-03... Vic tariffs have been terrible for years. But solar is also about doing the Right Thing. If the Grid is just wasting energy, get a battery. Better still, go off grid altogether. Grid gouge is not good.",Renewable energy surge,Clean energy,43,"solar, energy, wind, power, panel","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels
bafyreigrmftcddvq4se3ygjsej4gwkjk6y3htqu2zjpjwpuxolnfcnhlxm,"My husband and I wanted to move out of the suburbs and into the country in our retirement years. These fires, due to climate change, has changed everything for us. ð¢",Climate-fueled wildfires,Climate Wildfires,56,"climate, change, scientist, war, expert","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreihpou36io5r6btxzolgbevgcv6h5kgkvmj5rsp7lnujaqpg22gnkq,"MET EnergÃ­a EspaÃ±a signs two 10-year PPAs to supply Atlantic Copper with 100 percent solar energy
www.renewableenergymagazine.com/pv_solar/met...",Renewable Energy Momentum,Clean energy,16,"build, plant, program, sign, push","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels
bafyreifen6dm4tw32dosm42xlzipnvvs3qs3vhctnepmzacqfxqbs2hsca,"Firefighters battle flames from the Palisades Fire in the Pacific Palisades neighborhood of Los Angeles on Jan. 7. Young people especially, can feel powerless in the face of such ferocious wildfires as evidence of climate change. californiahealthline.org/news/article...",Climate-fueled wildfires,Climate Wildfires,70,"fire, climate, change, point, post","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreiewgfyh4htqojm3zvxdsro547awf4ctgdlxqyohbwlufa5yrsxs44,"So here I sit, my house full of smoke from a forrest fire because of drought.  It's 4 am.  I can't sleep.  Global Warming is caused by humans.",Deadly Heat Crisis,Climate Wildfires,88,"global, warming, course, ice, half",,-1_clean energy_social_green_bsky social
bafyreifk5t4jni6bcgeekq66zhrcy65uynfoptqzll7rcjx3k7rnoj6cl4,"To me, there is no longer 1 energy of the future. Every region should use what it has. For some itâs solar, others can use hydro or wind. Some may still even use oil but we definitely can use less.",Water resilience,Clean energy,42,"water, use, resource, ecosystem, corporate","renewables, renewable, wind solar, renewable energy, wind, cost, hydro wind, cost energy, fuels, 2507",31_renewables_renewable_wind solar_renewable energy
bafyreieczztkiyg3yg2uufvuqztywbionlhm4vy4ooc3gy5e5kpqielidy,"Report reveals 2024's most and least polluted cities, countries: Which US cities made the list?

#climatechange #renewables #pollution #airquality #airpollution 

flip.it/g.405g",Climate legal accountability,Water pollution,76,"climate, report, change, effect, canada","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreictaedfpj3mbx6xuyxlaus53jzinx4n26gq6ymxii36cplsbcdmhq,"Members also spoke to Chris Stark, Head of Mission Control at Clean Power 2030, about the governmentâs strategy to maintain a secure, affordable energy supply and protect the environment.

ð¸ See more photos on Flickr www.flickr.com/photos/ukhou...

#HouseOfLords #Energy #ClimateChange #NetZero",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreig2ey56q3mh7eeddjgbqgg5pwvs3dyufheo7l4ugfbaa2e4tjumka,"I'm honored to receive an endorsement from the Jane Fonda Climate PAC! Investing in solar, wind, and water energy will help us create a comprehensive network of energy sources that can match our stateâs energy consumption needs while minimizing environmental impact.",Renewable Energy Momentum,Clean energy,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social
bafyreifcbg3izstu4epp27zb5wqycioifjal3tjgt5vojioghwfxugh5xa,"""In the long-term, If we want to [meet our energy needs] responsibly, in a way that is cheap, effective & reliable, we need to be doubling down on clean energy solutions that are going to create jobs and help us solve the climate crisis.â
by Simmone Shah
time.com/7314054/how-...",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreihmxdyun4cfvibwljvi4ihrwmmysrjlnhvsgf64jyoof2kxki4vma,"Those folks never are, though, because the point is always ""this is why you deserve to die/suffer/be ruined"".

Meanwhile, climate change, deadly chemical accidents, US pollution dumping and failing infrastructure means there is no ""choice"" you can make to be safe in this country.",Water pollution crisis,Water pollution,81,"pollution, air, city, show, focus","court, court justice, icj, international court, advisory opinion, opinion, international, advisory, opinion climate, world court",48_court_court justice_icj_international court
bafyreickq3eaiyyo5sbd2syr465vdrns6fth23jcnlaznkdszy6j2g2orm,"â2,487 water pollution incidents recorded in 2024, say campaignersâ â MSN

#EnvironmentalNews #Pollution #Environment",Water pollution crisis,Water pollution,81,"pollution, air, city, show, focus","river, sewage, water pollution, fluoride, water, swimming, pfas, river pollution, nationalise, rivers",46_river_sewage_water pollution_fluoride
bafyreihnf2dfcxjmkjqhsqs3b74bwyz5jcos473xua4t65nv4bz7tg32o4,Itâs about 70-30 climate change and then NWS cuts. When I first started working air traffic we could always count on the storm season ending around mid-late October. Last few years weâve had thunderstorms pop up in fucking December.,Climate unease,Climate Wildfires,70,"fire, climate, change, point, post","snow, degrees, winter, cold, summer, winters, ski, october, sucks, hot",15_snow_degrees_winter_cold
bafyreiahw2aat2k5veb3t33k25sgjrvvxpp7v73eliy37smeavj27vl3ee,"Donât even get me started about all the times America has started the Cuyahoga River on fire because of their heavy pollution.
It's always about poor America. We've been putting up with your dirty pollution for decades.
Many decades!",Water pollution crisis,Water pollution,41,"year, day, every, time, last","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreieipsusr73zzq5474l3e6elnbqjgitiypo2z2ppc7xzcdishbo7ea,"Why arenât States with high solar irradiance (red & deep red on the map) maximizing the capture of clean & cheap solar energy?

Call your Senators and House Representative!",Renewable energy surge,Clean energy,43,"solar, energy, wind, power, panel","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels
bafyreiap5nu4pvccmvawngv5ei6bodjqaajya5qmppl2sa62okzp44fsna,"100 New Bridge Street has received an interim Outstanding rating under #BREEAM New Construction 2018! 

This project is on its way to achieving the highest BREEAM rating upon completion, raising the bar for sustainable development! ð",Water resilience,Sustainable Fashion,31,"production, funding, opportunity, red, personal",,-1_clean energy_social_green_bsky social
bafyreibtgotou3nc2dkejtoveusf7zof2jttvpnmctjqewxcuyidp7t37q,"Sustainability and Climate Change

Environmental change is the new force that has shifted the world economy towards a green economy- an economy that has low carbon, is resource productive, and is inclusive in its advantages.
www.aceyourassignments.com/important-ro...",Water resilience,Clean energy,56,"climate, change, scientist, war, expert",,-1_clean energy_social_green_bsky social
bafyreiauipnzmmxce3ryccralkwru2e3ei55dx6pvziujq47jbg353d5pm,Open Access UCL Research: Tropical forests in the Americas are changing too slowly to track climate change discovery.ucl.ac.uk/id/eprint/10...,Wildlife climate crisis,Anti-Deforestation,0,"research, lack, blame, faster, marine","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreif6tijpoe43dlbxed7o7phdt3vzzag2xsa5fjtlvrik7wltjvsp7m,What if your website could adapt based on the electricity powering it? Imagine serving lightweight content during peak hours and media-rich experiences when clean energy is abundant. That's the grid-aware web revolution. At Code 25 we'll hear from @fershad.com,Water resilience,Clean energy,90,"emission, state, gas, greenhouse, administration",,-1_clean energy_social_green_bsky social
bafyreidngj6opxbpw2352inagymsns3dizgvkkcav7y7kvwmkmgn4yolzm,Addressing climate change and thriving in the clean energy economy will require a highly educated and well-prepared workforce. That is why @sunyofficial.bsky.social is committed to empowering our students with the skills and training they will need to advance their careers in high-demand fields.,Climate action collaboration,Clean energy,38,"climate, important, change, increasing, biggest",,-1_clean energy_social_green_bsky social
bafyreihzf5so65aaqo7ihvwwqawd2vzfrgsajzdcnvqi2zefm4hnlhnusu,"Mayday! Mayday! Ignore ecological collapse at your peril! ð± 

âThe pollution of the planet by microplastics is significantly cutting food supplies by damaging the ability of plants to photosynthesise, according to a new assessment.â www.theguardian.com/environment/...",Plastic treaty failure,Water pollution,36,"oil, drilling, gas, price, trump","plastic, plastic pollution, plastics, treaty, microplastics, straws, plasticpollution, plastic waste, bottles, recycling",21_plastic_plastic pollution_plastics_treaty
bafyreiew4gb7hijvmmsv75bmauqurefyvpcrkz256xb5pckfu2bvde7r4a,The Tiffany Plate Diet: A Classic Path to Refined Eating and Sustainable Wellbeing Purchase on Amazon,Greenwashing deception,Sustainable Fashion,21,"week, generation, past, happen, per",,-1_clean energy_social_green_bsky social
bafyreicmyrh4rt3t34b4aw67i3pgcfkb3atwqfdqadxv5dornjmwvtohk4,"This is fossil fuel-driven climate chaos.

An extra 2.3 million people in European cities could die as a result of extreme temperatures â both hot and cold, by the end of the century if countries do not take action to mitigate climate change.",Deadly Heat Crisis,Climate Wildfires,72,"level, interest, act, record, temperature","global warming, warming, global, heatwave, 24hr, heat, nuclear winter, 5c, warming global, temperatures",13_global warming_warming_global_heatwave
bafyreialc3rk6fmu4jq2n2zletyanopcnf2ygovfvqq2hwq2xoci6uue7i,"Calvin Klein Mens Modern Structure Hip Brief 3 Pack
If you're looking for the perfect blend of comfort, sustainability, and style â look no further than the Calvin Klein Men's Modern Structure 3 pack of briefs. Designed to keep up with your a...
BUY NOW!
Â£22.00
https://bellelingerie.link/hl6ZRpBkQ",Greenwashing deception,Sustainable Fashion,27,"away, though, art, watch, mostly","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt
bafyreifl7eptumupsulctrvf5dvfcuab5oefnkc6kiwr5swhmgreu5b5de,"Green Day at Coors Field was absolutely incredible last night, what an amazing show. Tons of energy, the three hours flew by. I couldâve listened to them play all night",Independent investigative journalism,Clean energy,83,"high, least, book, saying, kid",,-1_clean energy_social_green_bsky social
bafyreigbwkh3tp76vicucz3uvkuj7j4upop4y537iiciwionda4oipyzv4,Europe has installed so many renewable energy sources that it is now facing an unusual problem: electricity is too cheap. share.google/vbPsRrQnLhe7...,Renewable Energy Momentum,Clean energy,43,"solar, energy, wind, power, panel","eu, energy wire, spain, europe, gen, load, renewable power, eurostat, energy action, wire",77_eu_energy wire_spain_europe
bafyreifoxfmlw3nylhrpb4veoqazly2lzf3jxdrgsvv5hfhiid7mfg66zu,"As soon as I heard about Dig Energy's unique approach to slashing the cost of drilling boreholes for geothermal heating and cooling by 80% or more, I knew: ""if this works, this will eventually just be how we heat every building, everywhere."" techcrunch.com/2025/09/09/g...
ðð¡",Aviation decarbonization,Water pollution,83,"high, least, book, saying, kid",,-1_clean energy_social_green_bsky social
bafyreibh7v6wcua4467xlz3snpniktk6opeonxudegbm4ckxgl4oe5eg4i,Shepherd and Wedderburn has appointed project finance specialistÂ Graham Young as the latest partner to join its clean energy team.,Climate action collaboration,Clean energy,52,"denial, latest, drive, bring, paper",,-1_clean energy_social_green_bsky social
bafyreihhyhih2u3rede6p2k3odmjqqvz5j4ma445rf66nnmd55jk37d4ty,"Serious water pollution in England up 60%, government says

www.bbc.co.uk/news/article...

#water #pollution #sewage #environment",Water pollution crisis,Water pollution,81,"pollution, air, city, show, focus","river, sewage, water pollution, fluoride, water, swimming, pfas, river pollution, nationalise, rivers",46_river_sewage_water pollution_fluoride
bafyreiebguhahtaijq2oibe2qnnutpnxfsssvfayldq67j7hdwt2szurae,"John Vaillant's FIRE WEATHER was winning awards earlier this year for its account of a fire like this.

And ppl complain the feds are slow to help - JFC, GET MAD AT THE PROVINCE. You know, the ones making headlines for shorting emergency resources?? The ones refusing to talk abt climate change??",Climate justice action,Climate Wildfires,50,"mean, climate, party, change, drill","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreifjo75mk6ib3vfvia4rrsf3ymcpfpxgphsqdbo42e4fvx6h42a62u,"â¨ Say âI doâ to sustainable elegance with KING AAA V12 Wedding Dresses! ð°ð 70 pieces per bale, offering stunning designs and eco-friendly luxury. ðð

#SustainableFashion #WeddingDress #SecondhandBridal #EcoFriendlyFashion #DoDoBirdUsedClothing",Sustainable luxury fashion,Sustainable Fashion,32,"nothing, seems, move, based, folk","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt
bafyreigxwmuy2ykzpndc7l6ytnhyande7bheahvelephgcfdhtot6mdotu,"The solarboi of summer 2022 was insanely prolific (like, 15 larger videos a month with response videos in between) and I'm feeling a little insecure in his shadow ð

Granted, that was never going to be sustainable long-term, but gosh it sucked to lose that flow during that November",Starry night preservation,Clean energy,44,"lot, next, little, coming, guy","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels
bafyreidcrwnyzjzw52kuhq62khyddn42pw7vokjv6phaunpojavzazreiq,"Meanwhile US will continue to be dealt blows by climate-fueled weather events - global warming driven wildfires in California, extreme cold snap across other parts of the country; increase in more intense hurricanes like one that left North Carolina reeling from extreme rainfall.",Deadly Heat Crisis,Climate Wildfires,4,"climate, change, event, heat, extreme","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreihamk3bx7azrd2upu6bgyboyrvgpuutm62mxnnhvbee4a64pi6ox4,Human-caused global warming pushing Europe into a fiery future ...,Climate-fueled wildfires,Climate Wildfires,88,"global, warming, course, ice, half","global warming, warming, global, heatwave, 24hr, heat, nuclear winter, 5c, warming global, temperatures",13_global warming_warming_global_heatwave
bafyreiad5vs3lrwsmp7hdibxmlj737cogyfxr3ur5j5ae6vwef7pfp34tq,"The metrobus 804 is extending its route and service towards the Neighbourhood of Val-Belair. This suburban area relies almost entirely on cars, and sustainable transportation options are limited and not competitive. Hereâs the new extended route: â¬ï¸

New stops in yellow ð¡",Water resilience,Clean energy,34,"using, massive, approach, planning, accelerating","transport, transit, bus, sustainable transport, trains, transportation, bike, cycling, public transport, bikes",19_transport_transit_bus_sustainable transport
bafyreibjx5uy2fhqvjsyoxknvyiq4vr4jbqv56v3ao33qbmzv5hbwao22e,"Beacon Minerals ( #BCN )  has released "" Stage 2 Grade Control Program Commences at Iguana "" on Tue 22 Jul at 09:46 AEST  #Mining #Gold #ltd #ASX #Drilling",Resource expansion drilling,Anti-Drilling,10,"help, http, big, u, climate","gold, aest, asx, asx drilling, metals, diamond, released, jul, minerals, mining",74_gold_aest_asx_asx drilling
bafyreibmdjqfbp2bcnmwvjtz4bgqd5xn2wzd23n7ul6ncserkmnjryk7cu,"BACKGROUND: xAI is Musk's Colossus megafacility in Boxtown which is currently siphoning up to 1 million gallons a day out of the Memphis Sand Aquifer and spewing pollution via unlicensed turbines. 

MORE INFO: Follow @keshaunpearson.bsky.social who's the head of MCAP.",Water resilience,Water pollution,81,"pollution, air, city, show, focus",,-1_clean energy_social_green_bsky social
bafyreidvca2gfa2pqqjmxy7srxoemvvipvscvghvtacpl75rjazlpnemoy,"Seems every summer has high hazard wildfire smoke days now. When I grew up, we never heard of those. But we did have smog days back then. We took action on smog pollution and it has saved many lives. Hard to stop the wildfire trend without addressing the issue of greenhouse gases/planet warming.",Climate-fueled wildfires,Climate Wildfires,41,"year, day, every, time, last","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreiere622zvikle6nbwhk4xqffhp2bywxqcjio2fszuxcksxmlpj7em,"#Hippos secrete red sweat to stay cool in #WestAfrica ð¦ Although #herbivores, parents fiercely protect infants leading to conflict with people. #PalmOil and #tobacco #deforestation are threats. #BoycottPalmOil ð´âï¸ #Boycott4Wildlife @palmoildetect.bsky.social palmoildetectives.com/2022/06/29/h...",Deforestation & Wildlife Crisis,Anti-Deforestation,72,"level, interest, act, record, temperature","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreihuh4y2f2dmlpw6avkbzcydxxp7ivgrbmr2lvxepvgn6khgc4lrje,"Extremely important study: 

'Results demonstrate that air purifiers reduced indoor air pollution by 28%, corresponding to an 11% reduction in student absences'. 

meetingorganizer.copernicus.org/EGU25/EGU25-...",Water pollution crisis,Water pollution,81,"pollution, air, city, show, focus","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreih64s2qiconqhvfo5c2xram6chnlg3qjcn3gahlnwmstg47k77mya,"Shocking new research by @clientearth.bsky.social & @creacleanair.bsky.social reveals the #Health effects of excess NOx #AirPollution emissions in the UK.

Reminder: these emissions come from Euro 5&6 #Diesel cars emitting suspiciously high levels of pollution. Millions are still on our roads.",Water pollution crisis,Water pollution,76,"climate, report, change, effect, canada","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreiakhiqldiaybumn2m6orlgwa35lkxlp7rlrlpcnthw6ncrbqknuie,"Well, not sustainable for an individual bird, no...",Wildlife climate crisis,Anti-Deforestation,72,"level, interest, act, record, temperature",,-1_clean energy_social_green_bsky social
bafyreidelvf6mur6ghd7rfelkxxwrzfdurvdvk3ayzmxo2pvoilg6nhmlu,These six charts tell the story of Australia's (slow) progress on climate change www.abc.net.au/news/2024-12... via @ABCaustralia,End fossil fuels,Clean energy,10,"help, http, big, u, climate","australia, auspol, australian, au, dutton, farage, australians, com australia, australia ne, com au",7_australia_auspol_australian_au
bafyreihps6s35ymhuhf3sohbaztsrcir6uceti3jv5thwhsun7xcbtfmxu,"I am also curious about how many properly energy / clean energy people were at the conference - subject matter experts, industry people etc",Renewable Energy Momentum,Clean energy,49,"many, money, cause, people, climate",,-1_clean energy_social_green_bsky social
bafyreicitnvidwqlds2gorcdgxhxtnlpsnouuzolqdsnl5pi2hkfrw4lby,Thatâs eye opening. It really highlights that designation as a protected area isnât enough on its own managing land based pollution and human activity seems crucial too. Do you see any strategies that are working well to mitigate these pressures?,Water resilience,Anti-Deforestation,34,"using, massive, approach, planning, accelerating","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreifuh2eiqd6iqtsngd5enrao6hnm4kkwxdyetrpgmnvbvbs3kel6bq,"Tow and Fert purchasers 2017/18 will be stoked with @fonterranz.bsky.social latest announcement, there's a really good chance if you've purchased a Tow and Fert to transition to foliar nitrogen or biological inputs, you may be up for some good bonuses!
#sustainable
www.towandfert.com/sustainabili...",Water resilience,Sustainable Fashion,79,"ai, sustainable, sector, create, security",,-1_clean energy_social_green_bsky social
bafyreih2qp3xk45frrqsphhddctdkgr4662ts4pm6aqnmawpwps25fpoay,"Stabilizing the Climate: Trees absorb CO2, one of the main greenhouse gases contributing to climate change. By sequestering carbon, forests help to moderate the global climate, potentially reducing the intensity of future weather events.",Trees for Climate,Anti-Deforestation,90,"emission, state, gas, greenhouse, administration","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreigwyj5ea3xboufwy75cpaf3qnjlkzhomufzgseyoqzcrev7rdjytu,"Yeah, I went through the Van311 website while I was on my call. After drilling down, they still wanted me to *call* parking enforcement. :(",Sound's dual impact,Anti-Drilling,6,"back, call, family, via, break","drilling, holes, drilling holes, drilling hole, hole, wall, dentist, drill, hammering, like drilling",9_drilling_holes_drilling holes_drilling hole
bafyreigtnrkwmfpuyq32venqlxvyhc6cnsfbcgugnjsz73edael7n3mjpy,"Save the Sahel Day 1911 + 1912

ActOnSahel
team advocates 4 Peace in the Sahel with #ClimateAction. Sahel needs more #trees not weapons.Pls redirect the military funds to tackle climate change, poverty, terrorism & conflicts. #ActOnSahel",Trees for Climate,Anti-Deforestation,64,"climate, change, risk, study, fact",,-1_clean energy_social_green_bsky social
bafyreicfvtuinww6bdfqetjfcy65roaexrlpbvaf53d66l54tutfuiy2f4,"This pollution is pouring into - or very near - TWO marine protected areas. These are designated to protect:

ð¬ Porpoises
ðª¸ Rich seabed habitats

Both highly sensitive to these toxic spills.",EV transition barriers,Water pollution,2,"science, protect, rich, republican, order","plastic, plastic pollution, plastics, treaty, microplastics, straws, plasticpollution, plastic waste, bottles, recycling",21_plastic_plastic pollution_plastics_treaty
bafyreihdi2qvel3wg3xcgu3iiifvfhzxqmjeifdwzbfjufchcgkvue6psu,"Investing in green infrastructure and renewable energy will save costs, create sustainable jobs, and future-proof our economy. Tell Keir Starmer, Rachel Reeves and other world leaders to set more ambitious climate plans: act.350.org/sign/ndc-ope...",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreidmlgxv4zj7gwrsbafbyqhkenugx7nwwc3443nbuqm3la7yiltham,"The Inflation Reduction Act signed by President Biden is helping us combat climate change while fueling the transition to clean energy â all while saving families an average of $800 annually on their home energy bills!
... and not a single Republican voted for it! ð¤",EV transition barriers,Clean energy,99,"energy, clean, renewable, green, bill","tax credits, energy tax, big beautiful, credits, inflation reduction, reduction act, senate, ira, tax, districts",28_tax credits_energy tax_big beautiful_credits
bafyreigwstd5tneh6zsj73iexucdtaleinzxmlgngyxhcuy2viwvpmkfsq,"The BidenâHarris administrationâs signature achievement is the plan to invest more than US$1 trillion in climate and clean-energy technologies over a decade â albeit while overseeing record levels of production of oil and natural gas in the short term. 

www.nature.com/articles/d41... Audience",Climate justice action,Clean energy,76,"climate, report, change, effect, canada",,-1_clean energy_social_green_bsky social
bafyreidn6hd5mz2556cnj37qf325eryv4quq7mtvwwuuujcqmcoflgtzzy,"Agreed about the need to reduce this. But the framing in this article is not quite right. Hidden in the article you find ""Particle pollution from traffic was greatest in Delhi."" The main source is not agricultural in Delhi but traffic caused by stagnant conditions and a low boundary layer overnight",Water resilience,Water pollution,86,"without, space, road, completely, sustainable","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreicepbs7t5l5smewxbu6tm7tzrkr7744zcxkaxi3lan65gjai3gsru,"I'm not sure I understand your point. In the example figures, the first item for each is 100% renewable energy, so intermittency would apply the same to all, right? (With EVs using batteries.) Are there  large-scale green hydrogen or p2g projects that run only when renewables are facing curtailment?",EV transition barriers,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreihqqezs2itwcs2din5gbd32eqon2mb32jzeghrj2kqkrfai23erre,"""Duplicate sustainable models for a better world! ð""

#OneCommunity #Sustainability #EcoFriendly #GreenFuture #ClimateAction #SustainableLiving",Climate action collaboration,Anti-Deforestation,63,"solution, better, carbon, reduce, technology",,-1_clean energy_social_green_bsky social
bafyreifybhllqd5zgq36q7wq3fh2bx637xjf24ns24d2bxlhsfiuk3vwia,"GH2 Solar to Set Up Green Hydrogen Plant in MP; Korea, UK Firms Back Project

Read more www.saurenergy.com/solar-energy...

Stay up to date with the renewable energy industry by following Saur Energy WhatsApp channel whatsapp.com/channel/0029...",Renewable energy surge,Clean energy,9,"stay, consequence, calling, following, bear",,-1_clean energy_social_green_bsky social
bafyreieejn7lbubzexgegsohduklheqby5jjoc355sjgg3ascwvatqdory,"Elementâs Lancaster Clean Energy Center secures tax incentives from the California Alternative Energy and Advanced Transportation Financing Authority, boosting green energy initiatives in the state--  fuelcellsworks.com/news/califor...
#HydrogenNow #FuelCells #CleanEnergy #H2",Climate rollbacks,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreicajadbmq2hqrecys7x7ly33bhkurkkf3pmtckopqxx4csu64tucy,"BioSolar Stack - Climate Change by Luminosity

By doing these things, there is no need or reason for any human to be poor, no human not to eat. It should also reduce global emissions and beautify 

luminosity.livejournal.com/1220736.html...",Climate action collaboration,Anti-Deforestation,49,"many, money, cause, people, climate",,-1_clean energy_social_green_bsky social
