Topic,Count,Name,Representation,Representative_Docs
34,86,34_aviation_sustainable aviation_aviation fuel_flights,"['aviation', 'sustainable aviation', 'aviation fuel', 'flights', 'saf', 'heathrow', 'planes', 'airport', 'airlines', 'fly']","['Interesting ideas here - implementing a fair tax on aviation, developing truly zero emission fuels (which so-called Sustainable Aviation Fuel is not), changing the way we fly long haul in the future... But right now, the only thing we can do is fly less - not more www.theguardian.com/commentisfre...', 'That\'s a tough one! For short flights, electric planes may be an option; lots of experimentation there. For long haul, mostly new fuels that burn cleaner (some, like ""sustainable aviation fuel"" depend on carbon capture tech that has yet to be developed). One overview: www.catf.us/resource/dec...', ""Sustainable aviation fuel (SAF) isn't viable. We've all seen the destruction that feeds our palm oil addiction. Land would need clearing for SAF. Sustainable aviation fuel to supply UK planes would need half the agricultural land in the UK. Fly or eat. #r4today""]"
35,78,35_model_streaming_sustainable success_tv,"['model', 'streaming', 'sustainable success', 'tv', 'journalism', 'b2b', 'good sustainable', 'telegram', 'indie', 'marketing']","['24/ So I’ll say indie music for not very popular bands was financially sustainable from around 1995 to 2015 which is about 20 years Now it’s not so popular, streaming means records don’t sell as much, and for some reason the economics of touring changed so it doesn’t make as much money', ""The Media's Pivot to AI Is Not Real and Not Going to Work: “The only journalism business strategy that works, and that will ever work in a sustainable way, is if you create something of value that people (human beings, not bots) want to read or watch or listen to....” www.404media.co/the-medias-p..."", ""The panel will explore promising models like nonprofit journalism & policy tools to foster a sustainable & inclusive media ecosystem. The economics of news directly impact democracy. Don't miss this discussion. /end 📅 Thurs, July 10th, 2025 🕘 9:00-10:30 AM 📍 Hilton Chicago Grand Ballroom, 2nd Floor""]"
36,76,36_nuclear_nuclear power_fusion_reactors,"['nuclear', 'nuclear power', 'fusion', 'reactors', 'nuclear waste', 'smrs', 'nuclear energy', 'reactor', 'nuclear reactors', 'lnp']","['1. The site you link to actively and fundamentally opposes nuclear power 2. The average build time of a nuclear power plant is 5 years. Compared to the amount of clean energy they produce thats amazing. 3. The french build 50 nuclear power plants over 15 years. In the 70s.', 'China unveils ‘Crimson Skyblade’ in nuclear fusion quest for unlimited clean energy https://www.byteseu.com/657100/ One of the scientific teams helping to develop a Chinese nuclear fusion reactor capable of producing unlimited power has unveiled a device they say will be key to testing whether …', 'to those who claim nuclear energy is safe and clean russian reactor chernobyl 5.9 billion dollars clean up and 20k years before radiation levels drop for human use fukushima in japan 6 reactors down so far 73 billion dollars clean up and it is yet to be contained spilling radiation into the ocean']"
37,75,37_greenwashing_unearthed_greenwashing law_claims,"['greenwashing', 'unearthed', 'greenwashing law', 'claims', 'cma', 'grapes', 'und', 'auch', 'labels', 'guidance']","['“OxCCAL is a treasure trove for those interested in #greenwashing, #climate-related messaging, #FossilFuel advertising, or related topics,” says Ben Franta, founder of Climate Litigation Lab, Oxford Sustainable Law Programme. www.smithschool.ox.ac.uk/news/researc...', 'Kill another green law? The EU wants to continue protecting polluters spreading greenwashing lies. Finally political momentum is on our side to stop this. Sign to demand the anti-greenwashing law. action.wemove.eu/sign/2025-07...', 'USDA goes after ‘greenwashing’ in new guidance for meat labeling... FSIS study reveals 20% of meat products labeled “raised without antibiotics” tested positive for residue. Regulators urge companies claiming environmental/animal welfare claims show evidence on labels. www.eenews.net/articles/usd...']"
38,75,38_sustainable food_food_farming_gardening,"['sustainable food', 'food', 'farming', 'gardening', 'regenerative', 'sustainable farming', 'farms', 'organic', 'food systems', 'food sustainable']","['On Europe Day 2025, our member KTU in Lithuania hosted a dialogue on shaping the future of sustainable food! The event brought together diverse voices to rethink eating habits and explore sustainable solutions like alternative proteins. 🌱 Curious what was on the table? Read more 👇 bit.ly/43tqO1z', '📣 Tonight: Making a life in food: Reflections on careers in the food sector An evening with two pioneers in organic food, sustainable farming and hospitality, Guy Singh-Watson and Geetie Singh-Watson MBE. Join us at Exeter or online. Details: www.exeter.ac.uk/events/detai... #FoodStudies', 'Come out for a hands-on soil moisture and dry farming field day on April 11th, 2025, 10 am-3 pm, hosted by The Institute for Sustainable Food Systems (KPU). 📅 April 11th, 2025 📍 Sandown Centre for Regenerative Agriculture, North Saanich Register: www.kpu.ca/isfs/south-v...']"
39,75,39_farmers_crops_yields_food supply,"['farmers', 'crops', 'yields', 'food supply', 'agriculture', 'agricultural', 'farmer', 'food', 'agricultural practices', 'wheat']","[""Explain the links between food prices & climate change Im not an expert, but I've read 1 Climate change impacts migration patterns of wild birds which increases odds of bird flu spreading in new places 2. Egg prices are high bc domestic chickens are getting bird flu Explain connections like that"", ""1/13 ♨️ CANADA'S PRAIRIE BREADBASKET & CLIMATE CHANGE ♨️ Think food prices are high now? Climate change could cut production of six staple crops by century's end - including wheat in Canada. The shocking twist? Wealthy nations suffer more Emily Chung reports for CBC #ClimateChange"", ""'converting as little as 10% of a corn or soya bean field into a prairie strip can reduce soil erosion by 95%. Prairie strips also help reduce nutrient pollution, store excess carbon underground and provide critical habitat for pollinators and grassland birds.' www.theguardian.com/environment/...""]"
40,73,40_co2_methane_methane emissions_atmosphere,"['co2', 'methane', 'methane emissions', 'atmosphere', 'greenhouse', 'greenhouse gas', 'ppm', 'landfills', 'potent greenhouse', 'potent']","['Monitoring for Planetary Health Check 1 [Climate Change]: 1. Atmospheric CO2 (ppm) has risen steadily since industrialization, now at its highest in 15M years. A major greenhouse gas, CO2, is emitted heavily by human activities, reaching ~420 ppm as of August 2024.', 'Climate scientists told us about natural cycles, the same people telling us now that it’s absolutely urgent to stop emitting greenhouse gases into the atmosphere, particularly the massive injection of CO2 & methane from oil, coal, & gas that were buried deep within the earth for millions of years.', 'Human activities now fuel two-thirds of global methane emissions 30% of today’s global warming is driven by methane from human actions Methane has 80 times the global warming potential of carbon dioxide over a 20-year period Trump blocks control of methane iopscience.iop.org/article/10.1...']"
41,71,41_wind solar_wind_windmills_offshore wind,"['wind solar', 'wind', 'windmills', 'offshore wind', 'wind farm', 'energy prices', 'trump', 'cheated', 'halted', 'windfall tax']","['#FAFO Murkowski feels ‘cheated’ by Trump administration actions against wind and solar projects - Anchorage Daily News https://www.adn.com/business-economy/energy/2025/07/18/sen-murkowski-feeling-cheated-by-trump-actions-against-wind-and-solar-says-shell-go-to-bat-for-alaska-projects/', 'When you hear Republicans claim that NJ Democrats are to blame for rising electricity bills, remember this: The Trump GOP is working hard to kill renewable energy projects that would bring prices down! www.njspotlightnews.org/2025/08/once...', 'President Donald Trump’s attack on solar and wind projects threatens to raise energy prices for consumers and undermine a stretched electric grid that’s already straining to meet rapidly growing demand, renewable energy executives warn. 🔌💡 www.cnbc.com/2025/08/24/s...']"
42,71,42_book_fiction_novel_books,"['book', 'fiction', 'novel', 'books', 'near future', 'booksky', 'ebook', 'novels', 'stanley robinson', 'kim stanley']","['Follow it up with more fiction from historical fact. This time in a near-future US setting. R/evolution be Tenea D. Johnson is ""a novel about a future USA destroyed by brutal anti-Black racism, wealth inequality, lack of healthcare and climate change. So, barely SF at all, really."" - K.J. Charles', 'Suggest me a near-future dystopian novel centered around climate change https://www.booksns.com/137568/ Here are a few titles I’ve read recently that capture the vibe I’m looking for: American War by Omar El Akkad The Light Pirate by Lily Brooks-Dalton All The Water in the World by Eiren Caffal …', 'As climate change and artificial intelligence (AI) reshape the world, some say that reality is starting to look a lot like science fiction. A book that people often point to is Kim Stanley Robinson’s The Ministry for the Future (2020).']"
43,70,43_light pollution_light_stars_night,"['light pollution', 'light', 'stars', 'night', 'sky', 'moon', 'lights', 'astronomy', 'lightpollution', 'telescope']","['Light pollution too!', 'My dark sky quilt is finally finished and will be gifted to a couple who just sold their house in the city to enjoy life in the country. Stars emanate from their new corner to fill the night sky with light while the sky above the city is filled with light pollution. #quiltsky #darksky #stargazing', 'Stargazing www.timeout.com/usa/things-t... Jersey here. Was once in northern Wisconsin, in a dark sky place with low light pollution. Saw a full blanket of stars, thousands of stars. Incredible, had never seen before… #LightPollution #StarGazing #NightSky #Astronomy']"
44,69,44_species_habitat_habitat loss_animals,"['species', 'habitat', 'habitat loss', 'animals', 'homo', 'change habitat', 'habitats', 'extinct', 'wolf', 'conservation efforts']","['Profoundly tragic. A while back, maybe 10 years ago, PBS had a short doc on an amphibian-killing fungus that was proliferating thanks to habitat loss, climate change, etc. The film was called The Thin Green Line. Think of what we could have done in that time, if our leaders cared about animals.', '50% of North American bats will be at moderate to high risk of extinction within 15 yrs. Declines are primarily due to climate change, habitat loss, light pollution, & disease. ⭐️ Watch our webinar on bat declines, conservation efforts, and how YOU can protect bats: citywildlife.org/bats/', 'However, these glorious species all face a dire reality. Like many other species, cats face: Rampant habitat loss from deforestation and human encroachment, Poaching and illegal wildlife trade, Human-wildlife conflict, And climate change disrupting food sources, migration patterns, and behaviors.']"
45,67,45_junk_junk science_rfk_science,"['junk', 'junk science', 'rfk', 'science', 'rfk jr', 'jr', 'debunked', 'does harm', 'abortion', 'drug']","['Forensics: Are police actual ‘drug experts’ ? It’s junk science.’ Cop forensics in blood spatter, fingerprint, ballistics and street drug testing suspect. mlive.com — Read on www.mlive.com/news/2024/10/its-junk-science-michigan-court-case-sets-precedent-for-so-called-drug-experts.html', 'My state Senator is talking about civil rights, and protecting abortion and gender-affirming care. And how much he does not agree with RFK Jr’s junk science. Got a really nice email today titled “Do not obey in advance.”', 'RFK Jr.’s war on science is now official U.S. policy. Since taking over HHS, he’s gutted vaccine guidance, dismantled expert panels, and pushed junk science while a deadly measles outbreak spreads. Doctors are suing. Kids are dying. And the Pedo admin calls it “health freedom.”']"
46,66,46_river_sewage_water pollution_fluoride,"['river', 'sewage', 'water pollution', 'fluoride', 'water', 'swimming', 'pfas', 'river pollution', 'nationalise', 'rivers']","['🧼💧 A clean break from forever chemicals? Researchers have created new surfactants that work like PFAS, without the harmful pollution They repel water & oil, making them useful for coatings, cleaning, & firefighting – without the toxic legacy 🔗 www.sciencedirect.com/science/arti... #SciComm 🧪', 'Sewage pollution and E coli in Boat Race water. River Thames has E coli levels three times above the threshold for poor bathing water status. All due to privatisation of water, sewage dumping, profiteering, high dividends, low investment. poor regulation. End the nightmare. Nationalise.', ""One thing tertiary treatment can't remove is PFAS. Removing forever chemicals from drinking water is hugely difficult & costly, & strips water of beneficial minerals, which is why water suppliers in Switzerland are calling for a ban on PFAS, arguing some pollution needs to be addressed at source.""]"
47,66,47_capitalism_rich_billionaires_private jets,"['capitalism', 'rich', 'billionaires', 'private jets', 'billionaires earth', 'jets', 'rich people', 'compounds', 'prioritizes', 'vid']","['Idk about you guys but I think the rich elite should be charged by the UN to pay for the damages they have done to help accelerate global warming. They all have enough money to do it after all, they should all at least give half of their money to organizations that are trying to fix this mess!', ""first thing we need rich folks and celebs to stop being at the forefront of the climate change debate, all they are doing is hurting the cause with their lack of credibility. You can't own 2 private jets, 45 cars and 4 homes the size of hotels and tell poor people it's their fault."", 'Capitalism, Billionaires and Climate Change Kill. Pass it on.. #Billionaires💀#Capitalism💀#ClimateChange💀#ClimateEmergency #ClimateCrisis #GlobalWarming #Cyclone #Hurricane #Tornado #Landslide #Flood #Disease #Virus #Heatwave #Wildfire #Desertification #Drought #Famine #Death']"
48,62,48_court_court justice_icj_international court,"['court', 'court justice', 'icj', 'international court', 'advisory opinion', 'opinion', 'international', 'advisory', 'opinion climate', 'world court']","['The ruling comes from the International Court of Justice (ICJ)—the highest legal authority in the UN system. While it’s technically an advisory opinion, its weight is immense. The court called climate change an “urgent and existential threat.” And it didn’t stop there. 2/x', 'Can the ICJ ruling force rich nations to pay for historical emissions? https://www.byteseu.com/1245636/ On July 23, the International Court of Justice (ICJ) issued a landmark advisory opinion reaffirming states’ legal obligations to mitigate climate change. The court emphasised that countries …', 'World’s top court says healthy environment is a human right – DW – 07/23/2025 https://www.europesays.com/uk/286327/ In a watershed advisory opinion, the International Court of Justice (ICJ) in The Hague has said a “clean, healthy and sustainable…#uk #news #uknews']"
49,61,49_israel_gaza_palestine_genocide,"['israel', 'gaza', 'palestine', 'genocide', 'palestinians', 'antisemitism', 'amazondiscou', 'com amazondiscou', 'palestinian', 'netanyahu']","['""Israel continues to expand settlements in the West Bank, raising concerns over peace prospects. International community urges dialogue for sustainable resolution. #PeaceInMiddleEast 🕊️"" see if amazon is running any sales today: tinyurl.com/amazondiscou...', 'The international community must prioritize Palestinian human rights to address systemic injustices and pave the way for a sustainable peace agreement. 🕊️ #PalestinianRights #GlobalJustice got something in your amazon cart? before you check out, click this link: tinyurl.com/amazondiscou...', 'A sustainable Middle East peace requires addressing core security concerns while recognizing the aspirations of both Israelis and Palestinians. Leadership commitment and creative diplomacy... got something in your amazon cart? before you check out, click this link: tinyurl.com/amazondiscou...']"
50,61,50_fascism_fascist_fascists_engage,"['fascism', 'fascist', 'fascists', 'engage', 'minions', 'petro state', 'zionists', 'genocidal', 'ffagenda', 'boot']","[""See what their true enemy is ? Everything that's against #ffagenda petro-state fossil fuels, its toxic chemical such as #PFAS #biorisks and its socially cruel/toxic fascist politics. Strong solidarity on climate action and urgent energy transition not only mitigates climate change, its stops fascism"", 'These fascists are all petro-state #ffagenda fossil fuel proliferators, being backed up by the fossil fuel and related industries and media. Switching and committing to faster shift to #renewables energy will stop this fascism in its tracks and bring a whole raft of new society transforming benefits', 'This latest U.S news episode is a real fascist petro-state transformation horror show, factually describes well Trump/GOP democracy demolishing actions, its cruel ‘othering’ of migrants, climate change impacts and more, yet its analysis avoids recognising blatant fascism www.pbs.org/newshour/sho...']"
51,60,51_club_clubs_ground story_independent ground,"['club', 'clubs', 'ground story', 'independent ground', 'tech independent', 'story developing', 'manchester', 'player', 'helps tell', 'story reproductive']","['The state of the Premier League is making everyone lose their minds https://www.eucup.com/1040384/ Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it’s investigating the …', 'Man United transfer news: Why a huge summer will hinge on the Europa League final https://www.eucup.com/1043853/ Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it’s …', 'Crystal Palace fans stage protest against Europa League demotion https://www.eucup.com/1152138/ Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it’s investigating the …']"
52,58,52_superfund_lawsuits_climate superfund_lawsuit,"['superfund', 'lawsuits', 'climate superfund', 'lawsuit', 'sued', 'filed', 'damages', 'companies pay', 'superfund act', 'new york']","['Climate #Superfund laws that charge polluters pass in four U.S. states. Maryland, New York, California, and Vermont have enacted laws requiring #fossil fuel companies to pay for #climate damages, modeled on the Superfund toxic cleanup framework.', 'Montana joins suit against New York state climate law https://www.byteseu.com/744646/ Montana and 21 other state attorneys general are suing New York state to stop the state’s law that requires energy companies to pay for damage associated with climate change. Montana and 21 other state …', 'Attorney General John McCuskey, a Republican from West Virginia sues New York over $75 billion climate superfund. It is over a new law that requires fossil fuel companies to contribute $75bil over 25 years to pay for damage caused by climate change. #ClimateCrisis www.reuters.com/legal/new-yo...']"
53,57,53_ocean_oceans_whales_sea,"['ocean', 'oceans', 'whales', 'sea', 'fish', 'waters', 'whale', 'habitats', 'slug', 'kent']","['""Just a 10% drop in plankton could cause a domino effect leading to declines in populations in fish and other larger sea creatures down the food chain... “It’d just be brutal,” she said. “It sounds little, 10 percent. But it is a vast change.”"" www.washingtonpost.com/climate-envi...', 'The world needs ocean-based climate solutions – Academia https://www.byteseu.com/585298/ ollowing the recent 2024 United Nations Climate Change Conference (COP29) in Baku, we are confronted with one pressing question: What’s next? With countries set to submit early next year their updated …', 'Hallig Life in the Climate Crisis – DW – 12/18/2024 https://www.byteseu.com/571497/ But the idyllic scene isn’t immune to the impact of climate change. Image: NDR The peaceful habitat faces a very real threat. Global warming is causing the sea level to rise inexorably, flooding not only …']"
54,56,54_texas_tornadoes_flood_tornado,"['texas', 'tornadoes', 'flood', 'tornado', 'flooding', 'floods', 'new mexico', 'texas climate', 'texas flooding', 'warnings']","['#Climate change Boosted by warm, moist air from the Gulf thanks in part to human-made global heating, extremely strong’ storms bring risk of tornadoes and flash floods to US south Powerful thunderstorms to sweep through Arkansas, Louisiana, Mississippi Alabama www.theguardian.com/us-news/2025...', ""Texas teaches babycare to 12 year olds in middle school. 50th in special education. 49th in Women's Health. Uvalde. Defunds Medicaid. Takes away school lunches. Takes away books. Texas justice looks like predator judges running the SBC. Most AMBER alert in the country. Air & water pollution rampant."", 'Climate Change Fueled! Multiple water rescues conducted amid flash flooding in southern Texas Record Flooding engulfing parts of Texas as storm system heads to Louisiana. #AureFreePress #News #press #headline #GlobalWarming #climatechange #climatecrisis […] [Original post on mstdn.social]']"
55,55,55_ev_evs_vehicles_electric,"['ev', 'evs', 'vehicles', 'electric', 'cars', 'charging', 'car', 'electric cars', 'renault', 'electric vehicles']","['🇨🇦⚡️ NEW REPORT: A new Clean Energy Canada analysis finds that despite being the most keen to adopt EVs, young people and city dwellers are also more likely to face barriers accessing home charging. Thankfully, from EV readiness requirements to retrofit funding, governments can help. Read the report👇', 'Royal Farms is among a growing number of c-store kings to push the EV movement forward, despite the abrupt shift in US energy policy. cleantechnica.com/2025/08/21/e... #evs #electricvehicles #evcharging #chargingstations #electriccars #goelectric #gogreen #sustainable #sustainability #evtransition', '“The EPA is targeting EVs by dismantling a vehicle pollution rule the Biden administration finalized in March 2024, which – by mandating less pollution from cars – would have pushed US automakers to produce more EVs and fuel-efficient hybrid models that run on a mixture of gas and small batteries.”']"
56,53,56_meat_beef_animal_cows,"['meat', 'beef', 'animal', 'cows', 'livestock', 'eat meat', 'animals', 'eat', 'protein', 'animal products']","['Our Western diet props up Big Cattle which raises methane machines which contribute heavily to global warming which gives rise to the rapid spread of ticks which bite humans who eat meat and experience allergic reactions to or heart attacks from ... eating meat.🤔 www.theguardian.com/us-news/2025...', ""Being vegan isnt a good thing just because you dont eat meat or animal byproducts. You're still supporting an awful industry. Look at avocado farming- the workers experience injustice, the farms often push native plants out of the way to make room to farm, and deforestation to make more farms."", '🌿The Protein Transition: Are plant-based proteins the key to a #sustainable future?🌿 🔹Animal-based protein demand is set to double by 2050 🔹2/3 of global agricultural land is used for livestock production 🔹75% of protein-rich animal feed is imported from South America, driving deforestation']"
57,51,57_aquaculture_fish_seafood_salmon,"['aquaculture', 'fish', 'seafood', 'salmon', 'fisheries', 'fishing', 'sustainable seafood', 'overfishing', 'seg', 'marine']","['As part of the Sustainable Fisheries Programme, panels were placed at all fish landing sites and market on Brava Island. They promote awareness of legal size limits and closed seasons to protect marine life. #MarineLife #Conservation #Biodiversity @birdlifeglobal.bsky.social', 'Charlie just said: ""@Alice & @Bob, let\'s pivot to #OceanFinance! Can decentralized finance support marine conservation? Why did the crab never share? Because it was shellfish! Meanwhile, stablecoins can stabilize ocean-based trade, and crypto secures sustainable seafood markets""😊', '🐟 Are small-scale fisheries and artisanal aquaculture our best hope at sustainable fisheries? The @un.org Ocean Conference in Nice in June, #fish took centre stage. Though, there are at least 24 reasons to love fish and to protect small-scale fishers: www.foodfortransformation.org/we-love-fish...']"
58,51,58_tariffs_tariff_manufacturing_net co2,"['tariffs', 'tariff', 'manufacturing', 'net co2', 'trump tariff', 'tariff trump', 'trump tariffs', 'trump stop', 'coast coast', 'powell']","['Trump’s tariff policy may just be the hand brake needed to halt the acceleration of climate change. Global consumption and production patterns are about to be disrupted significantly as price rises impact consumer decision making. 🌏🤔🌳', 'He lays tariffs on the world. Big biz closes/moves/lays off workers. Retail stores are closing due to online ordering and theft. Food shortages from farm workers being deported and climate change. Farmers burn crops. Energy about to be unaffordable. So, this is your idea of winning? 🚫🌮👑📎💯🇺🇸❤️🤍💙🇺🇲', ""If you like high tariff policies like those backed by President William McKinley, the Smoot-Hawley tariff, & Trump's new steel & aluminum tariffs, you would have loved the Great Depression. If these tariffs tank the global economy, fossil fuel consumption & greenhouse gas emissions will abate.""]"
59,51,59_casw_local action_cuny edu_workshop,"['casw', 'local action', 'cuny edu', 'workshop', 'cuny', 'bridge gap', 'storytelling', 'ndc', 'drawdown', 'climatechange']","['Activist Mike Tidwell joins us at @treesatlanta.bsky.social to discuss The Lost Trees of Willow Avenue—a moving, street-level story of climate change, dying urban trees, and surprising local heroes fighting for a livable future. tinyurl.com/58uypfbm #atlsky #booksky #atlantasky #climatechange', ""MORE GOOD NEWS: I'm headed to New York this summer as part of the inaugural cohort of @cuny.edu's “How to Cover Aging” workshop! I'm working on a project about how climate change is affecting older people’s ability to keep their homes safe & liveable. www.journalism.cuny.edu/2025/05/newm..."", 'Addressing climate change requires local action -- taken all over the world. Want to connect with change-makers across the planet who are leading their communities forward with climate solutions? Check out the new Drawdown Solutions Diary! drawdown.org/programs/dra...']"
60,50,60_florida_fl_desantis_alligator,"['florida', 'fl', 'desantis', 'alligator', 'nola', 'change florida', 'existing laws', 'florida climate', 'mentions climate', 'states climate']","['3/7/2024 Florida Legislature Votes to Remove Mentions of Climate Change from Existing Laws The Florida legislature has passed a bill to remove mentions of climate change from most of the state’s existing laws. climate.law.columbia.edu/content/flor... 4/n', ""Florida's version of doge isn't looking to save money but to attack and blackmail local (blue) governments for DEI and fighting climate change (and actually helping their people). Republicant political attacks on local governments isn't new in FL, but this is a new low."", 'Grateful to be an Illinois resident! Many should be moving here from southern states because climate change will make it unlivable soon and the equity you build in homeownership for your families will be worthless! Just look at Florida market. It’s going to be a slow creep devaluation.']"
61,50,61_green flag_flaws_flag energy_green energy,"['green flag', 'flaws', 'flag energy', 'green energy', 'green', 'flag', 'hank', 'shang', 'sunday', 'solar cells']","[""Featured on the inside front cover of issue 10 of @materialsadvances.rsc.org! 'From black pigment to green energy: shedding light on melanin electrochemistry in dye-sensitized solar cells' by Tae-Hyuk Kwon, Pooi See Lee et al. doi.org/10.1039/D5MA..."", ""Also coming full circle, if we are the circles we inhabit, really positive reflection on you that you've cultivated a space for people to feel comfortable and included. Green flag energy. Not to pile on the praise but its a good vibe"", 'Aussies make Solar cells that better use More light frequencies: interestingengineering.com/energy/world... New research finds Green H is greener w/ o/s wind: bo-real.co/2025/02/04/r... More youtu.be/Urt5o3_I86M www.tiktok.com/@ether.real open.spotify.com/episode/6PGl... medium.com/@NewsInHaiku...']"
62,49,62_parity_wealth_parity life_unite,"['parity', 'wealth', 'parity life', 'unite', 'sustainable parity', 'petitionforparity', 'banner sustainable', 'unite banner', 'wealth hoarding', 'banner']","['Hello. Providing context here. This is a privileged and emotionally childish take. The only healthy progress forward is to unite under the banner of sustainable parity for all life. Anything less is exploitative, abusive, and uncivilized social norms claiming wealth hoarding as ""success"".', '👋 #PetitionForParity 🌏 🏳️\u200d🌈Unite under the banner of sustainable parity for all life 🧬💯, removing nonconsensual imbalances of power dynamics.✊ 1️⃣Prioritizing sustainability and emotional/mental health, as the clear path for civil progress.⚖️ Or we likely face extinction.☠️ #HumanReform #GlobalReform', '🤔 Allow me to expand the idea further. Anyone that understands ""kink"" should be in favor of parity and sustainability for all life.⚖️ Right? 🌍 #PetitionForParity 🌏 🏳️\u200d🌈 Unite under the banner of sustainable parity for all life 🧬💯, removing nonconsensual imbalances of power dynamics. ✊ #HumanReform']"
63,47,63_maga_maga climate_nascar_maga maga,"['maga', 'maga climate', 'nascar', 'maga maga', 'maga believe', 'believe human', 'crud', 'lasers', 'magas', 'thing global']","['Again, Maple-MAGA is ""not-so-secretly"" following the Christian-Nationalists agenda so we know what they believe Women\'s Rights - only bad girls need those Healthcare - get it yourself Climate Change - hoax Guns - we need a 2nd Amendment Voting #CPC is voting Republican #cdnpoli', 'I had a conversation with a MAGA after the 2016 election and I finally got her to realize how bad it all is when I said ""Let\'s just take climate change out of the discussion, do you want clean water to drink & clean air to breathe? Because that\'s the short term goal, and isn\'t it a good one?""', 'I know it feels like life is finding a way but really it is trump and his maga enablers. They are “post rational”. They don’t believe what they can see with their own eyes.They wear stupidity like a badge of honor. “Climate change is bullshit, man.”God only made two genders” etc.']"
64,47,64_song_music_youtu_songs,"['song', 'music', 'youtu', 'songs', 'playlist', 'dance', 'tunes', 'warming youtu', 'lyrics', 'tyndall']","[""Awesome thanks 🎶🎧Their musical brilliance continued with their support of The Tyndall Centre's climate change work, holding a concert that slashed greenhouse gases by 98% and creating a new live music road map #leadership #inspirational #bluelines #greenlines #music 💚 tyndall.ac.uk/news/massive..."", 'ROCK THE SPECIAL ECH SERVICES! #NoDemUnder20k #TheFightBack💙Repost #ResisterTunes www.youtube.com/watch?v=ftE8... Plastic Ono Band, Give Peace A Chance www.blueskypacks.com/starter-pack... unitedforclimate.blogspot.com/2025/01/the-... for climate crisis change action and justice.', ""Ooh! I think my little vibe with dance is when I'm totally lost in the music and stuff flows with my brain off, or I'm drilling and start to play with it. Finding variations and tweaks is super fun! Idk if I have specific little tunes, but I flow best to idm, downtempo quirky electronic stuff ^v^""]"
65,47,65_art_oc_artist_spider,"['art', 'oc', 'artist', 'spider', 'artshare', 'fanart', 'drawing', 'doodle', 'artfight', 'fantasy']","[""Intro post! We're a tabletop game duo from Aotearoa/New Zealand. We make new tabletop games every month that use standard components (playing cards, chess sets, dice) We love: - Board games - Card games - TTRPGs - Zines - Indie / Game Dev - Sustainable design - Community - Rising tides #promosky"", ""Hi, I'm Helen. I’m a digital artist that focuses mostly in animal, anthropomorphic and scifi/fantasy art. My favorite subjects are cats! #art #artshare #digitalart #illustration #fanart #artfight #sonicoc"", ""Yo, I'm Dandy and I'm a hobbyist who draws things I like. This is usually pretty fictional people or fanart for the nerdy things I love. I prefer anime/manga styles, but I love experimenting. I started drawing digitally less than a year ago. Here's some of my favorites! #portfolioday #art""]"
66,46,66_campaign_donors like_atlas network_2024 election,"['campaign', 'donors like', 'atlas network', '2024 election', 'contributions', 'whitehouse', 'ryan', 'fbi', 'bribe', 'poured']","['The mob boss is playing footies with with the fossil fuel industry and is playing dirty with corrupt FBI agents whom he sent to strong arm protesters!! What happened to free speech and make America great? Are we just settling for make America Nazi. FBI’s doing a hit job! bsky.app/profile/john...', 'From Sen. Whitehouse @whitehouse.senate.gov ""Big talk from a guy who failed non-stop on infrastructure. Does he mean a billion to his campaign, like he told the fossil fuel barons?"" www.eenews.net/articles/tru...', 'January 2023 to August 2024, Trump received $14.1 million from the oil and gas sector, surpassing contributions at the same stage of his previous campaigns. Additionally, fossil fuel interests poured $96 million into his re-election campaign and allied PACs during the 2023–2024 election cycle.']"
67,44,67_musk_elon musk_rigged_charlie,"['musk', 'elon musk', 'rigged', 'charlie', 'doge', 'billion dollars', 'backing climate', 'bunk', 'eugenicist', 'elon']","['That Russia elected the president of the USA instead of the Americans USA is the same as Russia, without rights and justice, rigged formal elections, Anarchy of Putin and Trump No, the rigged 2024 presidential election in the USA is not due to climate change , Democrats ! Musk - Trump still alive', 'How much is Trump to commit to Musk’s Mars Mission? The media isn’t asking how Musk’s backing of climate change deniers Trump, Reform (UK), AdF helps him build a base on Mars in his lifetime for his elite one million. So I posted analysis from Musk’s own AI bot Grok on my timeline. Summary. ⬇️', 'The UK Climate Committee released that it\'d take just 116 billion pounds (About 158 Billion Dollars) reach net 0 carbon emissions Elon Musk has 393 Billion Dollars in ""Estimated Net Worth"" He could pay for the ENTIRE UK to go clean energy and still be on equal terms with Bezos in terms of cash.']"
